Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: I have this theory [[says laughing]] that it’s men who are very broad right under the elbow you know like, 	I=B		141.1	B thinks Mae stop crying in Robert's arms is partly due to the body warmth but B has this theory that it's men who are very broad right under the elbow						CT+ 141.1	CT+ 141.1	JA 141.1	JA 141.1			
			141.2	B thinks Mae stop crying in Robert's arms is partly due to the body warmth						CT+ 141.2	CT+ 141.2	JA 141.2	JA 141.2			
			141.3	Mae stop crying in Robert's arms is partly due to the body warmth						PS 141.3	PS 141.3	JA 141.3	JA 141.3	LI	embedded under 'think'	
			141.4	B has this theory that it's men who are very broad right under the elbow						CT+ 141.4	CT+ 141.4	JA 141.4	JA 141.4			
			141.5	There are some man who are broad right under the elbow						PS 141.5	PS 141.5	JA 141.5	JA 141.5	C	B clearly states that it's a theory so no commitment	
A: Wait a minute. Broad under the elbow.  You mean in the chest? 	You=B		142.1	A asks B to wait a minute						CT+ 142.1	CT+ 142.1	JA 142.1	JA 142.1	C	 This is what we would want to mark as a command TALK ABOUT	
			142.2	B waits a minute					this is a metaphorical 'minute' -- used for indicate that A needs clarification	CT+ 142.2				C	Not sure if this should be even an event LEST TALK 	
			142.3	A asks B if by broad under the elbow B means in the chest						CT+ 142.3	CT+ 142.3	JA 142.3	JA 142.3			
			142.4	B means in the chest by broad under the elbow	 → 144 CT-		 → 144 RT	 → 144 PS		PS 142.4	CT- 142.4					
B: like 			143													
B: No. From the elbow down towards the wrist.  			144	B means from the elbow down towards the wrist by broad under the elbow						CT- 142.4,CT+ 144	CT+ 144	RT 142.4,JA 144	RT 142.4,JA 144	C		
A: oh.  			145													
B: Who have like these big broad forearms.  			146.1	B asks A who has like these broad forearms					sarcasm, B sugggests that noone has such broad forearms	CT+ 146.1	CT+ 146.1	JA 146.1	JA 146.1	LI	 TALK ABOUT IT	
			146.2	Someone has like these big broad forearms						CT- 146.2	CT- 146.2	RT 146.2	RT 146.2			
A: {laugh} 			147													
B: {laugh} 			148													
B: I think babies like that.  	I=B,that=broad forearms		149.1	B thinks babies like broad forearms						CT+ 149.1	CT+ 149.1	JA 149.1	JA 149.1			
			149.2	Babies like broad forearms						PS 149.2	PS 149.2	JA 149.2	JA 149.2	C	embedded under think	
A: You think it gives, it gives security.  I suppose.  	it=broad forearms,I=A		150.1	B thinks broad forearms give security					 	CT+ 150.1	CT+ 150.1	JA 150.1	JA 150.1			
			150.2	Broad forearms give security			 → 150.3 IN	 → 150.3 CT-		PS 150.2	PS 150.2	JA 150.2	JA 150.2		 IMPORTANT CASE -- i dont think our system allows us to express it correctly	
			150.3	A supposes broad forearms give security						CT+ 150.3	CT+ 150.3	JA 150.3,IN 150.2	JA 150.3,IN 150.2			
B: (( )) Do you remember &Otto who moved my filing cabinet that time in &Philadelphia he’s another one? 	you=A,my=B's,he=Otto,one=man with broad forearms		151.1	B asks A if A remembers Otto who moved B's filing cabinet that time in Philadelphia						CT+ 151.1	CT+ 151.1	JA 151.1	JA 151.1			
			151.2	A remembers Otto who moved B's filing cabinet that time in Philadelphia		 → 152 CT+	 → 152 JA	 → 152 CT+		CT+ 151.2	NB 151.2					
			151.3	Otto moved B's filing cabinet that time in Philadelphia						CT+ 151.3	CT+ 151.3	IN 151.3	IN 151.3			
			151.4	Otto is another man with broad forearms						CT+ 151.4	CT+ 151.4	JA 151.4	JA 151.4			
A: Yes. uh-huh.  			152						uh=huh = filler		CT+ 151.2	JA 151.2	JA 151.2			
A: uh-huh.  			153						uh-huh.  = filler							
A: yeah. He’s big.  He’s sort of solid to me.  	He=Otto,me=A		154.1	Otto is big					yeah = repetition of 152	CT+ 154.1	CT+ 154.1	JA 154.1	JA 154.1			
			154.2	Otto is sort of solid to A						CT+ 154.2	CT+ 154.2	JA 154.2	JA 154.2			
B: who 			155													
B: He’s sort of very solid and they (( )) just love it [distortion].  	He=Otto,they=babies ? ,it= solid men ?		156.1	Otto is sort of very solid						CT+ 156.1	CT+ 156.1	JA 156.1	JA 156.1			
			156.2	Babies just love solid men						CT+ 156.2	CT+ 156.2	JA 156.2	JA 156.2			
A: But &Robert’s not big like that.  	that=Otto		157	But Robert is not big like Otto						CT+ 157	CT+ 157	JA 157	JA 157			
B: No, but he, but &Robert is big below the elbows I’ll bet if you check.  	he=Robert,I=B,you=A		158.1	But Robert is big below the elbows						CT+ 158.1	CT+ 158.1	JA 158.1	JA 158.1			
			158.2	B will bet that Robert is big below elbow if A checks						CT+ 158.2	CT+ 158.2	JA 158.2	JA 158.2			
			158.3	B will bet that Robert is big below elbow 						PS 158.3	PS 158.3	JA 158.3	JA 158.3	C	LAWRENCE THIS IS ANOTHER EXAMPLE OF A CONTIDIONAL	
			158.4	A checks Robert's forearms						PS 158.4	PS 158.4	JA 158.4	JA 158.4			
A: {laugh} I’ll have to check out below &Robert’s elbows {laugh} 	I=A		159.1	A will have to check out below Robert's elbow					slight sarcasm	CT+ 159.1	CT+ 159.1	JA 159.1	JA 159.1			
			159.2	A will check below Robert's elbow						PS 159.2	PS 159.2	JA 159.2	JA 159.2	C	I interpreted the sarcasm as an indicator that 159.2 may be possible but for sure not CT+	
B: {laugh} 			160													
A: At any rate, %um 			161													
A: So that was nice and then we watched through the nursery while they do, 	that=Mae stopping crying in Robert's arms,we=A and Robert		162.1	Mae stopping crying in Robert's arms was nice						CT+ 162.1	CT+ 162.1	JA 162.1	JA 162.1			
			162.2	A and Robert watched through the nursery						CT+ 162.2	CT+ 162.2	JA 162.2	JA 162.2			
A: if you survive the first four hours of life in the nursery you’ll survive anything after.  It’s the most sort of appalling introduction to life.  	you=a newborn		163.1	If a newborn survives the first hours of life in the nursery, a newborn will survive anything after the first four hours in the nursery						CT+ 163.1	CT+ 163.1	JA 163.1	JA 163.1			
			163.2	A newborn survives the first hours of life in the nursery						PS 163.2	PS 163.2	JA 163.2	JA 163.2	C	LAWRENCE: CONDITIONAL	
			163.3	A newborn will survive anything after the first four hours in the nursery						PS 163.3	PS 163.3	JA 163.3	JA 163.3	C	PS because it's conditional 1	
B: uh-huh.  			164						uh-huh.  = B acknowledges 163.1							
B: uh-huh.  			165						uh-huh. = repetition of 164							
B: uh-huh.  			166						uh-huh.  = repetition of 164							
B: uh-huh.  			167						uh-huh.  = repetition of 164							
A: But I was kind of scared at that point because we’re looking in and there’re all these nice sweet little pale babies lying there limp  	I=A,we=A and Robert,there=the nursery,that=the first four hours of Mae's life		168.1	But A was kind of scared the first four hours of Mae's life because A and Robert were looking in and there were all these nice sweet little pale babies lying limp in the nursery						CT+ 168.1	CT+ 168.1	JA 168.1	JA 168.1			
			168.2	A was kind of scared in the first four hours of Mae's life						CT+ 168.2	CT+ 168.2	JA 168.2	JA 168.2			
			168.3	A and Robert were looking in the nursery						CT+ 168.3	CT+ 168.3	JA 168.3	JA 168.3			
			168.4	There were all these nice sweet little pale babies lying limp in the nursery						CT+ 168.4	CT+ 168.4	JA 168.4	JA 168.4			
B: uh-huh.  			169						uh-huh.  = B acknowledges 168.1							
A: and there’s &Mae and she’s big compared to the rest and she was bright red and she is screaming and she screamed and she screamed and she screamed and all the rest of them as soon as they 	she=Mae,them=other newborns in the nursery		170.1	Mae was big compared to the rest of the newborns in the nursery					and there's Mae = expression introducing comparison	CT+ 170.1	CT+ 170.1	JA 170.1	JA 170.1			
			170.2	Mae was bright red						CT+ 170.2	CT+ 170.2	JA 170.2	JA 170.2			
			170.3	Mae was excessively screaming			 → 179 IN	 → 179 CT-	she screamed and she screamed and she screamed = Mae screamed excessively	CT+ 170.3	CT+ 170.3	JA 170.3	JA 170.3			
B: uh-huh.  			171						uh-huh.  = B acknowledges 170							
B: uh-huh.  			172						uh-huh.  = repetition of 171							
B: uh-huh. ((Um-huh)) [distortion] 			173						uh-huh. = repetition of 171							
B: uh-huh 			174						uh-huh = repetition of 171							
A: they sort of get exhausted after two screams and collapse. 	they=other newborns in the nursery		175	All the rest of the newborns in the nursery sort of got exhausted after two screams and collapsed						CT+ 175	CT+ 175	JA 175	JA 175			
B: yeah.  			176						yeah.  = B acknowledges 175							
A: And she was healthy I guess.  	she=Mae,I=A		177.1	And Mae was healthy A guesses						CT+ 177.1	CT+ 177.1	JA 177.1	JA 177.1			
			177.2	And Mae was healthy						PS 177.2	PS 177.2			LI	embedded under 'guesses'	
B: uh-huh {laugh}.  			178						uh-huh {laugh}.  = B laughs at 177.1							
A: And she just screamed and screamed and screamed and screamed and screamed and I thought oh my god what have we wrought here. {laugh} 	I=A,she=Mae,we=A and Robert		179	A thought oh my god what have A and Robert wrought here					 And she just screamed and screamed and screamed and screamed and screamed = Mae screamed excessively	CT+ 179	CT+ 179	IN 170.3,JA 179	IN 170.3,JA 179			
B: Did they tell you her ((apgar)) or whatever they call that? 	they=the nurses,her=Mae,that=the newborn's score,you=A		180.1	B asks A if the nurses told A about Mae's apgar or whatever the nurses call the newborn's score						CT+ 180.1	CT+ 180.1	JA 180.1	JA 180.1			
			180.2	The nurses told A about Mae's apgar or whatever the nurses call the newborn's score		 → 182 CT-	 → 182 RT	 → 182 PS		CT- 180.2	NB 180.2					
			180.3	The nurses call the newborn's score something						CT+ 180.3	CT+ 180.3	IN 180.3	IN 180.3	C	presupposition	
A: How (( )) 			181													
A: They didn’t tell us anything.  In fact, at the hospital they weren’t 	They=the nurses		182	The nurses did not tell A and Robert anything						CT+ 182	CT- 180.2,CT+ 182	RT 180.2,JA 182	RT 180.2,JA 182			
A: the, there were someth-, the individual people we had contact with were, were decent to us and friendly  	we=A and Robert,us=A and Robert 		183.1	The individual people A and Robert had contact with at the hospital were decent and friendly to A and Robert						CT+ 183.1	CT+ 183.1	JA 183.1	JA 183.1			
			183.2	A and Robert had contact with individual people at the hospital						CT+ 183.2	CT+ 183.2	JA 183.2	JA 183.2			
B: Were nice. 			184													
A: but %um the hospital policy was rather unfriendly to us and they wouldn’t, like we had been told, we they have a room called the bonding room 	us=A and Robert,they=the hospital staff		185.1	But the hospital policy was rather unfriendly to A and Robert						CT+ 185.1	CT+ 185.1	JA 185.1	JA 185.1			
			185.2	The hospital have a room called the bonding room						CT+ 185.2	CT+ 185.2	JA 185.2	JA 185.2			
B: yeah.  			186						yeah.  = B acknowledges 182, 183, 185							
B: uh-huh.  			187						uh-huh.  = repetition of 186							
B: uh-huh.  			188						uh-huh.  = repetition of 186							
A: and the whole purpose of the room is to let people be in it with the baby, who -- 	it=the bonding room,room=the bonding room		189.1	The whole purpose of the bonding room is to let people be in the bonding room with the baby						CT+ 189.1	CT+ 189.1	JA 189.1	JA 189.1			
			189.2	People are in the bonding room with the baby						CT+ 189.2	CT+ 189.2	JA 189.2	JA 189.2			
B: uh-huh.  			190													
A: -- are going to be with the baby.  			191													
B: Right.  			192						Right.  = B acknoweldges 189.1							
A: And they wouldn’t let us in there so, 	they=the nurses,us=A and Robert,there=the bonding room		193	The nurses would not let A and Robert in the bonding room			 → 195.2 IN	 → 195.2 CT-		CT+ 193	CT+ 193	JA 193	JA 193			
B: %mm.  			194													
A: d-, it was really quite awful.  They wouldn’t let us, they didn’t, they they gave us but they didn’t tell us beans.  	it=A and Robert's not being able to enter the bonding room,They=the nurses,us=A and Robert		195.1	A and Robert's not being able to enter the bonding room was really quite awful						CT+ 195.1	CT+ 195.1	JA 195.1	JA 195.1			
			195.2	The nurses did not tell A and Robert beans						CT+ 195.2	CT+ 195.2	IN 193,JA 195.2	IN 193,JA 195.2			
B: yeah.  			196						yeah.  = filler							
A: I mean they really didn’t talk to us. They didn’t offer us that parenting class that they offer to most people.  	I=A,they=the nurses,us=A and Robert,They=the nurses		197.1	The nurses really did not talk to A and Robert						CT+ 197.1	CT+ 197.1	JA 197.1	JA 197.1			
			197.2	The nurses did not offer A and Robert that parenting class the nurses offer to most people						CT+ 197.2	CT+ 197.2	JA 197.2	JA 197.2			
B: mhm.  			198						mhm.  = filler							
A: We would have had to come back the next day to the hospital which of course we weren’t going to do.  	We=A and Robert,we=A and Robert		199.1	A and Robert woud have had to come back the next day to the hospital 						CT+ 199.1	CT+ 199.1	JA 199.1	JA 199.1			
			199.2	A and Robert weren't going to go back to the hospital the next day						CT+ 199.2	CT+ 199.2	JA 199.2	JA 199.2			
B: %hm.  			200						%hm.  = filler							
B: mhm.  			201						mhm.  = repetition of 200							
A: %um, you know they really weren’t very nice and  	they=the nurses		202	The nurses really weren't very nice					you know = interjection	CT+ 202	CT+ 202	JA 202	JA 202			
B: yeah.  			203						yeah.  = B acknowledges 202							
A: I guess they have, their rules are just very rigid.  	I=A,they=the nurses		204.1	A guesses the nurses have the nurses' rules that are just very rigid						CT+ 204.1	CT+ 204.1	JA 204.1	JA 204.1			
			204.2	The nurses have the nurses' rules that are just very rigid						PS 204.2	PS 204.2	JA 204.2	JA 204.2	LI	embedded under 'guesses' -- intorduces hesitation	
			204.3	The nurses' rules that are just very rigid						CT+ 204.3	CT+ 204.3	JA 204.3	JA 204.3			
B: %mm.  			205						mm. = B acknowledges 204							
A: And the problem is the lawyer was supposed to have arranged for %um  			206													
B: Right.  			207						Right.  = B agrees with 204							
A: an additional bracelet.  			208.1	The problem is  the lawyer was supposed to have arranged for an aditional bracelet						CT+ 208.1	CT+ 208.1	JA 208.1	JA 208.1			
			208.2	The lawyer arranged for an additional bracelet						CT- 208.2	CT- 208.2	RT 208.2	RT 208.2	LI	embedded under "was supposed to"	
B: mhm.  			209													
A: In other words, what happens is they put one on the wrist of the baby, one on the ankle, one on the birth mother  	they=the nurses		210	The nurses put one bracelet on the wrist of the baby, one bracelet on baby's ankle, one on the birth mother					in other words = A rephrases/introduces more information to 204; what happens is = introductory phrase	CT+ 210	CT+ 210	JA 210	JA 210			
A: and then she has a, what you call the fourth bracelet which she can give to whoever will be her coach through the birth and stuff and of course she had given it to her mother, 	she=the birth mother,her=the birth mother's,it=the bracelet,you=one		211.1	The birth mother has what one calls the fourth bracelet, which the birth mother can give to whoever will be the birth mother's coach through the birth and stuff						CT+ 211.1	CT+ 211.1	JA 211.1	JA 211.1			
			211.2	The mother has what one calls the fourth bracelet						CT+ 211.2	CT+ 211.2	JA 211.2	JA 211.2			
			211.3	The birth mother can give the fourth bracelet to whoever will be the birth mother's coach through the birth and stuff						CT+ 211.3	CT+ 211.3	JA 211.3	JA 211.3			
			211.4	Some will coach the birth  mother through the birth and stuff						CT+ 211.4	CT+ 211.4	JA 211.4	JA 211.4			
			211.5	Of course the birth mother had given the fourth bracelet to the birth mother's mother						CT+ 211.5	CT+ 211.5	JA 211.5	JA 211.5			
B: %hm.  			212						hm. = B acknowledges 211							
B: mhm.  			213						mhm.  = repetition of 212							
B: %hm.  			214						%hm.  = repetition of 212							
B: I see.  			215						I see.  = B expresses understanding of 211							
B: I see.  			216						I see.  = repetition of 215							
A: which makes perfect sense.  			217	The birth's  mother giving the fourth bracelet to the birth mother's mother makes perfect sense						CT+ 217	CT+ 217	JA 217	JA 217			
B: mhm.  			218						mhm.  = B acknowledges 217							
A: Well, the only way, they couldn’t get their minds around the notion of a fifth bracelet for us.  	they=the nurses		219.1	The nurses could not get the nurses' minds around the notion of a fifth bracelet for A and Robert						CT+ 219.1	CT+ 219.1	JA 219.1	JA 219.1			
			219.2	The nurses could get the minds of the nurses' around all the four bracelets except the fifth bracelet						CT+ 219.2	CT+ 219.2	JA 219.2	JA 219.2	LI	implication embedded under "the only way" 	
B: Right.  			220													
A: So the only way that they would have let us in there was to take her mothers away, 	they=the nurses,us=A and Robert,there=the bonding room,her=the birth's mother's mother		221.1	The only way the nurses would have let A and Robert to the bonding room was to take the birth mother's mother's bracelet						CT+ 221.1	CT+ 221.1	JA 221.1	JA 221.1			
			221.2	The nurses let A and Robert to the bonding room						CT- 221.2	CT- 221.2	RT 221.2	RT 221.2			
			221.3	A and Robert took the birth mother's mother's bracelet						CT- 221.3	CT- 221.3	RT 221.3	RT 221.3			
B: Right.  			222													
A: which we wouldn’t ask and which she wouldn’t do.  	we=A and Robert,she=the birth mother's mother		223.1	A and Robert would not ask to take the birth mother's mother about the fifth bracelet						CT+ 223.1	CT+ 223.1	JA 223.1	JA 223.1			
			223.2	A and Robert did not ask the birth mother's mother's about the fifth bracelet						CT+ 223.2	CT+ 223.2	JA 223.2	JA 223.2	LI	implied from the usage of 'would'	
			223.3	The birth mother's mother would not give A and Robert the fifth bracelet						CT+ 223.3	CT+ 223.3	JA 223.3	JA 223.3			
			223.4	The birth mother's mother did not give A and Robert the fifth bracelet						CT+ 223.4	CT+ 223.4	JA 223.4	JA 223.4	LI	implied from the usage of 'would'	
B: Right.  			224						Right.  = B acknowledges 223							
B: Right.  			225						Right.  = repetition of 224							
A: And %um 			226													
A: the lawyer had told us he had arranged everything ahead of time  	us=A and Robert,he=the lawyer		227.1	The lawyer had told A and Robert the lawyer had arranged everything ahead of time						CT+ 227.1	CT+ 227.1	JA 227.1	JA 227.1			
			227.2	The lawyer had arranged everything ahead of time	 → 228.4 CT-	 → 228.4 CT-	 → 228.4 RT	 → 228.4 PS		PS 227.2	PS 227.2	JA 227.2	JA 227.2	LI	embedded under 'told'	
A: and there was supposed to be I D there at the hospital for us and it was all set and of course he hadn’t done anything.  	us=A and Robert,he=the lawyer		228.1	There was supposed to be ID at the hospital for A and Robert						CT+ 228.1	CT+ 228.1	JA 228.1	JA 228.1			
			228.2	There was ID at the hospital for A and Robert						CT- 228.2	CT- 228.2	RT 228.2	RT 228.2	LI	 embedded under 'suppposed'	
			228.3	Arranging the ID for A and Robert in the hospital was all set			 → 230 IN → 231 IN	 → 230 CT- → 231 CT-	of course = indicates that 228.3 was expected	CT+ 228.3	CT+ 228.3	JA 228.3	JA 228.3			
			228.4	The lawyer hadn't done anything						CT+ 228.4,CT- 227.2	CT+ 228.4,CT- 227.2	JA 228.4,RT 227.2	JA 228.4,RT 227.2		 	
B: I see.  			229						I see.  = B acknowledges 228							
B: He hadn’t done that, %hm.  	He=the lawyer		230									IN 228.3	IN 228.3			
A: No. He hadn’t done anything.  He’s been just hopeless.  	He=the lawyer		231	The lawyer has been just hopeless						CT+ 231	CT+ 231	IN 228.3,JA 231	IN 228.3,JA 231			
B: %hm.  			232						%hm.  = B acknowledges 231							
A: I mean I think legally he’s not hopeless.  I think he’s done all the necessary legal things but %um 	I=A,he=the lawyer		233.1	A thinks legally the lawyer is not hopeless					I  mean = A is trying to undermine/ lessen the strenght of A's statement in 231	CT+ 233.1	CT+ 233.1	JA 233.1	JA 233.1			
			233.2	Legally the lawyer is not hopeless						PS 233.2	PS 233.2	JA 233.2	JA 233.2	LI	 embedder under 'thinks' -- introduces uncertainty	
			233.3	A thinks the lawyer has done all the necessary legal things						CT+ 233.3	CT+ 233.3	JA 233.3	JA 233.3			
			233.4	The lawyer has done all the necessary legal things						PS 233.4	PS 233.4	JA 233.4	JA 233.4	LI	 embedder under 'thinks' -- introduces uncertainty	
B: yeah.  			234						yeah.  = B acknowledges 233							
A: you know in terms of the things,  			235	In terms of arranging an ID for A and Robert, the lawyer was hopeless						CT+ 235	CT+ 235	JA 235	JA 235			
A: He’s an S O B forgive me tape whoever you are but he was a fucker {laugh}.  	He=the lawyer,he=The lawyer		236.1	The lawyer is an SOB						CT+ 236.1	CT+ 236.1	JA 236.1	JA 236.1			
			236.2	A apologizes B for calling the lawyer an SOB						CT+ 236.2	CT+ 236.2	JA 236.2	JA 236.2			
			236.3	A gives persmission to whoever to tape A						CT+ 236.3	CT+ 236.3	JA 236.3	JA 236.3			
			236.4	Someone is taping A						CT+ 236.4	CT+ 236.4	JA 236.4	JA 236.4			
			236.5	The lawyer was a fucker			 → 241.1 IN	 → 241.1 CT-		CT+ 236.5	CT+ 236.5	JA 236.5	JA 236.5			
B: yeah.  			237						yeah.  = B agrees with 235							
B: No. th- {laugh} 			238	B laughs at A's swearing at the lawyer					 							
A: And %um {laugh} 			239	A laughs about swearing at the lawyer					 							
B: (( )) laugh 			240	 					laughs at 236.1 and 136.5 continue							
A: I’m sorry but he was.  	I=A,he=the lawyer		241.1	A is sorry for calling the lawyer a fucker but the lawyer was a fucker						CT+ 241.1	CT+ 241.1	JA 241.1,IN 236.5	JA 241.1,IN 236.5			
			241.2	A is sorry for calling the lawyer a fucker						CT+ 241.2	CT+ 241.2	JA 241.2	JA 241.2			
B: I think they said published actually. {laugh} 	I=B,they=the CALLHOME corpus creators		242.1	B thinks the CALLHOME corpus creators said that this conversation will be published actually						CT+ 242.1	CT+ 242.1	JA 242.1	JA 242.1			
			242.2	The CALLHOME corpus creators said that this conversation will be published actually						PS 242.2	PS 242.2	JA 242.2	JA 242.2	LI	embedded under 'thinks'	
			242.3	This conversation will be published actually						PS 242.3	PS 242.3	JA 242.3	JA 242.3	LI	embedded under 'said'	
A: oh well they can edit that word I guess {laugh} Anyway it’s English so {laugh} 	I=A,that=the word 'fucker',it=fucker,they=the CALLHOME corpus creators		243.1	A guesses the CALLHOME corpus creators can edit the word fucker					oh well - indicates that what's done it's done	CT+ 243.1	CT+ 243.1	JA 243.1	JA 243.1	C	 is 'they' developers of CALLHOME? I'm not sure but nothing else makes sense	
			243.2	The CALLHOME corpus creators can edit the word fucker						PS 243.2	PS 243.2	JA 243.2	JA 243.2	LI	embedded under 'guesses'	
			243.3	The word fucker is English						CT+ 243.3	CT+ 243.3	JA 243.3	JA 243.3			
B: yeah.  			244						yeah.  = B agrees with 243							
A: It’s American English.  			245	The word fucker is American English						CT+ 245	CT+ 245	JA 245	JA 245			
B: {laugh} 			246						B laughs at 245							
A: %um 			247													
A: You know he, he said things to me like well you’ll have her for the rest of your life, you know.  	he=the lawyer,her=Mae,me=A		248.1	The lawyer said things to A like A will have Mae for the rest of A's life					you now = interjection, like = comparison	CT+ 248.1	CT+ 248.1	JA 248.1	JA 248.1			
			248.2	A will have Mae for the rest of A's life						PS 248.2	PS 248.2	JA 248.2	JA 248.2	LI	 reporting someone else's speech does not express certain belief	
B: yeah.  			249						yeah.  = B acknowledges 248.1							
A: Don’t worry about it, which is really an arrogant attitude to take, you know.  	it=not being able tp bond with Mae in the bonding room		250.1	The lawyer said to A that A shouldn't worry about not being albe to bond with Mae in the bonding room						CT+ 250.1	CT+ 250.1	JA 250.1	JA 250.1			
			250.2	A shouldn't worry about not being albe to bond with Mae in the bonding room						PS 250.2	PS 250.2	JA 250.2	JA 250.2	LI	 reporting someone else's speech does not express certain belief	
			250.3	The lawyer's attempt to comfort A about not being able to bond with Mae in the bonding room is really an arrogant attitude to take						CT+ 250.3	CT+ 250.3	JA 250.3	JA 250.3			
B: yeah 			251						yeah = B agrees with 250.3							
B: yeah 			252						yeah = repetition of 251							
B: Man. {laugh} 			253						Man. {laugh} = B is shocked about the lawyer's behavior							
A: yeah. He was really, he was a real arrogant S O B, so 	He=A		254	The lawyers was a real arrogant SOB					yeah = interjection; he was really = unfinished utterance	CT+ 254	CT+ 254	JA 254	JA 254			
B: How old was he? 	he=the lawyer		255	B asks A how old the lawyer was						CT+ 255	CT+ 255	JA 255	JA 255			
A: I don’t know we never met him. He never showed up.  	I=A,we=A and Robert,him=the lawyer,He=The lawyer		256.1	A doesn't know how old the lawyer is						CT+ 256.1	CT+ 256.1	JA 256.1	JA 256.1			
			256.2	A and Robert never met the lawyer						CT+ 256.2	CT+ 256.2	JA 256.2	JA 256.2			
			256.3	The lawyer never showed up						CT+ 256.3	CT+ 256.3	JA 256.3	JA 256.3			
B: oh.  			257						oh.  = B acknowledges 256.2							
A: W-, he ended up in the end, his par-, he sent his partner to actually sign the papers who’s not even an adoption attorney.  	he=the lawyer,his=the lawyer's		258.1	In the end, the lawyer sent the lawyer's partner to actually sign the papers						CT+ 258.1	CT+ 258.1	JA 258.1	JA 258.1			
			258.2	The lawyer's partner actually signed the papers						CT+ 258.2	CT+ 258.2	JA 258.2	JA 258.2			
			258.3	The lawyer's partner is not even an adoption attorney 												
B: mhm.  			259						mhm.  = B acknowledges 258							
A: He does litigation.  Doesn’t know what he’s doing but I hope he did what his partner told him to do.  	He=the lawyer's partner,he=the lawyer's partner		260.1	The lawyer's partner does litigation						CT+ 260.1	CT+ 260.1	JA 260.1	JA 260.1			
			260.2	The lawyer's partner does not know what the lawyer's partner is doing with signing the adoption papers but A hopes that the lawyer's partner did what the lawyer told the lawyer's partner to do						CT+ 260.2	CT+ 260.2	JA 260.2	JA 260.2			
			260.3	The lawyer's partner does not know what the lawyer's partner is doing with signing the adoption papers						CT+ 260.3	CT+ 260.3	JA 260.3	JA 260.3			
			260.4	A hopes that the lawyer's partner did what the lawyer told the lawyer's partner to do with the adoption papers						CT+ 260.4	CT+ 260.4	JA 260.4	JA 260.4			
			260.5	The lawyer's partner did what the lawyer told the lawyer's partner to do with the adoption papers						NB 260.5	NB 260.5	 260.5	 260.5	LI	embedded under 'hope'	
			260.6	The lawyer told the lawyer's partner what to do with the adoption papers						PS 260.6	PS 260.6	JA 260.6	JA 260.6	C	because the lawyer seems unreliable, I think there's a doubt that he told his partner what to do	
B: mhm.  			261						mhm.  = B acknowledges 260							
B: ((%mm)) [distorted] 			262													
B: mhm.  			263						mhm.  = repetition of 261							
A: But he at least was a sensitive human being.  	he=the lawyer's partner		264.1	The lawyer's partner was at least a sensitive human being as opposed to the lawyer					but = introduces contrast that is elided but implied	CT+ 264.1	CT+ 264.1	JA 264.1	JA 264.1			
			264.2	The lawyer was not a sensitive human being						CT+ 264.2	CT+ 264.2	IN 264.2	IN 264.2	C	that's implied from the previous context. Here in 264.1 it's even more explicit	
B: mhm.  			265						mhm.  = B acknowledges 264							
A: And %um, you know so that was nice.  He had some sensitivity.  	He=the lawyer's partner,that=the laywer's partner being a sensitive human being		266.1	The laywer's partner being a sensitive human being was nice					you know = interjection 	CT+ 266.1	CT+ 266.1	JA 266.1	JA 266.1			
			266.2	The lawyer's partner had some sensitivity 						CT+ 266.2	CT+ 266.2	IN 266.2	IN 266.2	C	already established in 264.1	
B: We’re going to get cut off soon.  	We=A and B		267	A and B's conversation is going to get cut off soon						CT+ 267	CT+ 267	JA 267	JA 267			
A: oh no [distorted] 			268						oh no = A is displeased that 267							
B: And I want to, I hope you 	I=B,you=A		269						And I want to, I hope you  = unfinished utterance							
A: Tell me something then.  			270.1	A asks B to tell B something 		 → 272 CT- → 273 CT+	 → 272 RT → 273 JA	 → 272 PS → 273 CT+		CT+ 270.1	 270.1	 270.1	 270.1			
			270.2	B tells A something 	 → 274.1 CT+	 → 274.1 CT+	 → 274.1 JA	 → 274.1 CT+		PS 270.2	 270.2	 270.2	 270.2			
A: I’ll shut up. You can tell me something.  	I=A,You=B,me=A		271.1	A will shut up						CT+ 271.1	CT+ 271.1	JA 271.1	JA 271.1			
			271.2	A suggests that B tells A something		 → 272 CT- → 273 CT+	 → 272 RT → 273 JA	 → 272 PS → 273 CT+		CT+ 271.2						
B: What? 			272	 							CT- 270.1,CT- 271.2	RT 270.1,RT 271.2	RT 270.1,RT 271.2	C	REQUEST FOR REAPIR IMPORTANT EXAMPLE	
B: okay.  			273	 							CT+ 270.1,CT+ 271.2	JA 270.1,JA 271.2	JA 270.1,JA 271.2			
B: No. I’m worrying ab-, I’m not worrying I’m feeling like oh my gosh should all of this be in the public record or something.  	I=B,this=the current conversation between A and B		274.1	B expresses doubts whether this conversation should be in public record					I’m worrying ab-, I’m not worrying I’m feeling like oh my gosh = B is searching for the right words to express B-self	CT+ 270.2	CT+ 270.2	JA 270.2	JA 270.2			
			274.2	 This conversation should be in public record						CT- 274.2	CT- 274.2	RT 274.2	RT 274.2	C	it seems that they both think that this conversation should not be in the public	
