Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
B: oh okay.  			125						B understands 124.2							
A: so like I took that thing and I threw it away. {laugh} 	I=A		126.1	A took the nozzle 			 → 128.3 IN	 → 128.3 CT-		CT+ 126.1	CT+ 126.1	JA 126.1	JA 126.1	C	still not sure if the nozzle was thrown away or the entire pump	
			126.2	A threw the nozzle away			 → 130 IN	 → 130 CT-		CT+ 126.2	CT+ 126.2	JA 126.2	JA 126.2			
B: {laugh} 			127						B laughs at 126.1 and 126.2							
A: {inhale} It was like a little part you put on top of a nozzle thing. It was just like an extra attachment and I took that and I -- 	It=nozzle,I=A,that=nozzle		128.1	The nozzle was like a little part you put on top of the pump						CT+ 128.1	CT+ 128.1	JA 128.1	JA 128.1			
			128.2	The nozzle was just like an extra attchment 						CT+ 128.2	CT+ 128.2	JA 128.2	JA 128.2			
			128.3	 								IN 126.1	IN 126.1	C	A repeats 126.1	
B: ((mhm)) okay [distorted].  			129							 129						
A: -- threw it away 			130									IN 126.2	IN 126.2	C	A repeats 126.2	
B: okay.  			131													
A: And then it was fine.  	it=the pump		132	Then the pump was fine						CT+ 132	CT+ 132	JA 132	JA 132			
B: okay.  			133						B understand the issue with the pump							
A: So.  			134						So=an attempt to wrap up the subject							
B: yeah.  			135						yeah=filler							
A: That seemed to work fine {inhale} 	That=the pump		136	The pump seemed to work fine						CT+ 136	CT+ 136	JA 136	JA 136			
B: ye- 			137													
A: You know i- if I, if you could avoid it  	you=B,You=B,it=using the pump		138.1	It would be better if B could avoid the pump					you know=filler	CT+ 138.1	CT+ 138.1	JA 138.1	JA 138.1			
			138.2	B could avoid the pump						PS 138.2	PS 138.2	JA 138.2	JA 138.2			
A: you know 			139													
A: if y- if it was a choice in your life to say {inhale}  	your=one's		140	(If using the pump was a choice in one's life)					unfinished sentence; it suggests that if one had a choice not to use the pump they should not use the pump	 140	 140			C	because the utterance is not finished, we cannot create a fully fledged event;  therefore no updates of CG	
A: well for the first couple months I’ll just be home and I’ll just get a lot of rest and I’ll take it easy and if I’m not -- 	I=A		141.1	For the first couple of months A will just be home					well=indicates that A is about to explain something	CT+ 141.1	CT+ 141.1	JA 141.1	JA 141.1			
			141.2	A will just get a lot of rest						CT+ 141.2	CT+ 141.2	JA 141.2	JA 141.2			
			141.3	A will take it easy						CT+ 141.3	CT+ 141.3	JA 141.3	JA 141.3			
A: -- sleeping at night I’ll just sleep during the day or sleep when the baby sleeps.  			142.1	If A is not sleeping at night, A will just sleep during the day or A will sleep when the baby sleeps						CT+ 142.1	CT+ 142.1	JA 142.1	JA 142.1			
			142.2	A is not sleeping at night						NB 142.2	NB 142.2			C	notes on conditionals will be added to the manual soon. Most of the time the if/then events will have no beliefs	
			142.3	A will sleep during the day						NB 142.3	NB 142.3					
			142.4	A will sleep when the baby sleeps						NB 142.4	NB 142.4					
B: yeah.  			143						yeah=filler							
A: Not do this whole pumping thing I mean if I had to do it all over that’s what I would do.  	it=raise a child?,I=A		144.1	A would do 142.1 instead of this whole pumping thing if A had to raise a child all over again						CT+ 144.1	CT+ 144.1	JA 144.1	JA 144.1			
			144.2	A would do 142.1 instead of this whole pumping thing						NB 144.2	NB 144.2					
			144.3	A had to raise a child all over again						NB 144.3	NB 144.3					
B: oh yeah because I was thinking it would be easier because then other people could feed the baby and you wouldn’t have to be so tied to it.  	I=B,it,you=one		145.1	B was thinking that pumping would be easier becasue then other people could feed the baby and one wouldn't have to be so tided to the baby						CT+ 145.1	CT+ 145.1	JA 145.1	JA 145.1			
			145.2	B was thinking that pumping would be easier						CT+ 145.2	CT+ 145.2	JA 145.2	JA 145.2			
			145.3	Other people could feed the baby						PS 145.3	PS 145.3	JA 145.3	JA 145.3	C	in this particular world the events will be possible -- more on that soonin the manual	
			145.4	One wouldn't need to be so tided to the baby						PS 145.4	PS 145.4	JA 145.4	JA 145.4			
			145.5	Pumping would be easier						CT+ 145.5	PS 145.5	JA 145.5	JA 145.5	C	PS and CT+ will also be discussed soon in details	
A: (( )) 			146													
A: yeah. And if you want to go out to a movie or something.  	you=one		147.1	Pumping would be easier if one wants to go out to a movie or something						CT+ 147.1	CT+ 147.1	JA 147.1	JA 147.1			
			147.2	One wants to go out to a movie or something						NB 147.2	NB 147.2					
A: Mean that you know ((did you)) 			148													
B: Well we never go out. [[says laughing]] I mean you know what &Norm and I are like I mean.  	I=B,we=B and Norm,you=A		149.1	B and Norm never go out						CT+ 149.1	CT+ 149.1	JA 149.1	JA 149.1			
			149.2	A knows what B and Norm are like						CT+ 149.2	CT+ 149.2	JA 149.2	JA 149.2			
			149.3	B and Norm have certain habbits						CT+ 149.3	CT+ 149.3	IN 149.3	IN 149.3	LI	embedded under 'know' -- suggests that that 149.3 gas already been a part of CG	
A: Well believe me when you have a baby you’ll want, you’ll to put it in someone else’s house or someone come watch it in your house and go anywhere else. {laugh} 	me=A,you=one		150.1	When one has a baby, one will want to put the baby in someone else's house					believe me=A indicates that A knows what A is talking about, perhaps because A has experience in the subject	CT+ 150.1	CT+ 150.1	JA 150.1	JA 150.1			
			150.2	When one has a baby, someone will come and watch the baby in one's house and one will go anywhere else						CT+ 150.2	CT+ 150.2	JA 150.2	JA 150.2			
			150.3	One has a baby						NB 150.3	NB 150.3			C	the general idea with when/then and if/then clauses is that the speakers usually do not express beliefs to the individual sub-events. Sometimes this not hold -- I will give examples in manual	
			150.4	One will want to put the baby in someone else's house						NB 150.4	NB 150.4					
			150.5	Someone will come						NB 150.5	NB 150.5					
			150.6	Someone will watch the baby in one's house						NB 150.6	NB 150.6					
			150.7	One will go anywhere else						NB 150.7	NB 150.7					
B: See that’s what I was thinking like for my in laws and stuff when we go home for &Christmas.  	I=B,we=B and Norm,my=B's,what=B's inlaws could watch the baby		151.1	B was thinking that B's inlaws could watch the baby when B and Norm go home for Christmas					see=intorduces contrast to the upcoming event,See that’s what I was thinking like for my in laws and stuff when we go home for &Christmas.  	CT+ 151.1	CT+ 151.1	JA 151.1	JA 151.1			
			151.2	B's inlaws could watch the baby when B and Norm go home for Christmas						CT- 151.2	CT- 151.2	RT 151.2	RT 151.2	LI	event embedded under "was thinking" which indicates that B does not think that any more	
			151.3	B's inlaws could watch the baby						NB 151.3	NB 151.3	 151.3	 151.3	C	event conditioned on another event (151.4)	
			151.4	B and Norm go home for Christmas						CT+ 151.4	CT+ 151.4	JA 151.4	JA 151.4	LI	"when" preceeding the the event suggests that 151.4 is a reoccuring event	
A: mhm.  			152						mhm=expresses A's understanding of 151.1							
B: It would be so nice to just you know leave the baby with them but you can’t leave the baby.  	It=EPP,you=one		153.1	It would be so nice to just leave the baby with B's inlaws but one can’t leave the baby with the inlaws					with the inlaws=phrase elided from the utteraance but presupposed	CT+ 153.1	CT+ 153.1	JA 153.1	JA 153.1			
			153.2	It would be so nice to leave the baby with B's inlaws					you know=B expresses some belief that event 153.2 might be already known to A	CT+ 153.2	CT+ 153.2	IN 153.2	IN 153.2	LI	"you know" suggests that this event was known by both participats	
			153.3	One can't leave the baby with the inlaws			 → 154 IN	 → 154 CT-		CT+ 153.3	CT+ 153.3	JA 153.3	JA 153.3			
A: yeah. I mean if you, 			154						yeah=confirms that 153.2 was in CG	 154		IN 153.3	IN 153.3			
A: you know y- you might have to try one or two before you find one that works but 	you=one,one=breast pump		155.1	One might have to try one or two breast pumps before one finds the pump that works						CT+ 155.1	CT+ 155.1	JA 155.1	JA 155.1	C		
			155.2	One might have to try one or two breast pumps						PS 155.2	PS 155.2					
			155.3	One finds the breast pump that works						PS 155.3	PS 155.3			C	LET'S TALK	
B: yeah.  			156						yeah=B agrees witj 155.1							
A: once and you know they have like things and like can set the tension or whatever they get 	they=breast pumps		157	Breast pumps have like things and like can set the tension or whatever					you know=interjection; like=interjection; or whatever=suggests that A is not certainly sure about the breast pumps having tension settings	CT+ 157	CT+ 157	JA 157	JA 157			
A: suck suck power.  			158						suck suck power = The breast pumps have "suck power" option?							
B: {laugh} the tension {laugh} ((they’re)) like the little knob on your sewing machine.  [[said laughing]] {laugh} 	your=one's		159	The tension setting is like the little knob on one's sewing machine					B jokes	CT+ 159	CT+ 159	JA 159	JA 159	C	I think what is being added is not 159 per se but that B is joking abou it; LET'S TALK	
A: {laugh} You can set the, the power level and stuff and and it g- 	You=one,it=breast pump		160	One can set the power level in the breast pump						CT+ 160	CT+ 160	JA 160	JA 160			
B: {inhale} {laugh} {inhale} Or like extra suck for just ((starting to)) suck. [[said laughing]] 			161	The breast pump has extra suck setting					B jokes	CT+ 161	CT+ 161	JA 161	JA 161			
A: You know e- it’s like you 			162						you know=interjection; it's like=A is about to explain something							
A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting 	you=one		163.1	At first one feels like what is one doing putting this machine on one's breasts						CT+ 163.1	CT+ 163.1	JA 163.1	JA 163.1			
			163.2	One is putting this machine on one's breasts						NB 163.2	NB 163.2					
B: {laugh} 			164													
A: or obscene or something.  			165	Putting the machine on one's breasts is disgusting or obscene or something					or something=something similar to what has been just described	PS 165	NB 165			C	LET'S TALK	
A: But once you get used to it it was %uh you know you can like read while you’re doing it. It was like boring.  	you=one,it=breast pump,it 2 =breast pumping		166.1	Once one gets used to the breast pump, one can like read while breast pumping						CT+ 166.1	CT+ 166.1	JA 166.1	JA 166.1			
			166.2	Once gets used to the breast pump						CT+ 166.2	CT+ 166.2	JA 166.2	JA 166.2			
			166.3	One can read while breast pumping					like=suggests that reading is one of the acticities one can do while breast pumping	CT+ 166.3	CT+ 166.3	JA 166.3	JA 166.3			
B: uh-huh.  			167						uh-huh=B acknowledges 166.1							
B: okay.  			168						okay=suggests that B starts being more approving of the breast pump?							
B: And what does it go into like a little plastic bag **thingy**? 	it=pump machine		169.1	B asks A what does the pump machine go into like a little plastic bag						CT+ 169.1	CT+ 169.1	JA 169.1	JA 169.1			
			169.2	The pump machine goes into like a little plastic bag						NB 169.2	NB 169.2			C	NB for A as well because A does not assert 169.2	
A: %uh well the thing I had was like -- 	I=A,thing=breast pump		170	A had a breast pump						CT+ 170	CT+ 170	IN 170	IN 170			
A: -- like you screwed on this whole motor suction part --  	you=one		171													
B: uh-huh.  			172													
A: -- on to something that was just like a, a jar bottom.  			173.1	One screws on this whole motor suction part of the breast machine on something that was just like a jar bottom						CT+ 173.1	CT+ 173.1	JA 173.1	JA 173.1			
			173.2	Something was just like a jar bottom						CT+ 173.2	CT+ 173.2	IN 173.2	IN 173.2	C	presupposed	
A: You know just looked like a screw thing so that it went to this plastic container.  	it=the screw thing		174.1	Something that was just like a jar bottom looked like a screw thing					you know=interjection	CT+ 174.1	CT+ 174.1	JA 174.1	JA 174.1			
			174.2	The screw thing went to this plastic container						CT+ 174.2	CT+ 174.2	JA 174.2	JA 174.2			
B: {breath} 			175													
B: okay. And you can reuse the plastic container? 	you=one		176.1	B asks A if one can reuse the plastic container 					okay=B indicates that B understood 173.1 and 174.1	CT+ 176.1	CT+ 176.1	JA 176.1	JA 176.1			
			176.2	One can reuse the plastic container						NB 176.2	NB 176.2			C	A does not answer 176.1 -- that's why NB	
A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.  	I=A,you=one,me=A		177.1	A would then bring little bags like that one is supposed to put formula in with A to work						CT+ 177.1	CT+ 177.1	JA 177.1	JA 177.1			
			177.2	One is supposed to put formula in little bags						CT+ 177.2	CT+ 177.2	IN 177.2	IN 177.2			
B: oh okay.  			178						oh okay=B expresses understanding of 177.1							
A: And then I’d pour it from the container  	it=milk,Id=A		179							 179	 179	 179	 179			
A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.  	it=plastic bag,it 2 =container		180.1	Then A would pour the milk from the container into the plastic bag						CT+ 180.1	CT+ 180.1	JA 180.1	JA 180.1			
			180.2	A would seal up the plastic bag						CT+ 180.2	CT+ 180.2	JA 180.2	JA 180.2			
			180.3	Then A would rinse out the container 						CT+ 180.3	CT+ 180.3	JA 180.3	JA 180.3			
			180.4	A would wash the container the next day						CT+ 180.4	CT+ 180.4	JA 180.4	JA 180.4			
B: And did you throw away the plastic bags when you were done? 	you=A		181.1	B asks A if A threw away the plastic bags when A was done with the milk						CT+ 181.1	CT+ 181.1	JA 181.1	JA 181.1			
			181.2	A threw away the plastic bags when A was done with the milk						CT+ 181.2	NB 181.2			C	 A's utterance in 184 suggests that Bel A: CT+	
A: Well see then the plastic bag is designed to go inside a bottle thing.  			182	The plastic bag is designed to go inside a bottle thing					well see=A tries to educate B about the use of the plastic bag	CT+ 182	CT+ 182	JA 182	JA 182			
B: yeah. And th- %eh so then you so you throw the plastic bag away when you’re done.  	you=one		183	Then one throws away the plastic bag when one is done						CT+ 183	CT+ 183	JA 183	JA 183			
A: After your baby drinks the milk yeah.  	your=one's		184.1	One throws away the plastic bag after one's baby drinks the milk						CT+ 184.1	CT+ 184.1	JA 184.1	JA 184.1			
			184.2	One's baby drinks the milk						CT+ 184.2	CT+ 184.2	IN 184.2	IN 184.2	C	presupposed? But is it correct to mark it CT+ as an event in general? LET'S TALK	
B: yeah okay 			185						yeah okay=B expresses understading about 184.1							
B: {lipsmack} okay. I’m just trying to you know 	I=B		186	B is trying to learn about B's options regarding baby feeding						 186	CT+ 186			C	exmpty for A becasue it seems that A did not acknowledge the event	
B: we have a f- %um %uh %uh 			187													
A: And that way you can freeze them so you know we’d end up  	them=milk,you=one		188	That way one can freeze milk						CT+ 188	CT+ 188	JA 188	JA 188			
B: yeah.  			189						yeah=interjection							
A: there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like 	you=one		190.1	There was sort of like a go or no go for breast pumping						CT+ 190.1	CT+ 190.1	JA 190.1	JA 190.1			
			190.2	Once one just kind of got everything going it was like A was pumping too much						CT+ 190.2	CT+ 190.2	JA 190.2	JA 190.2			
			190.3	One got everything going with the breast pump					you know=interjection	CT+ 190.3	CT+ 190.3	JA 190.3	JA 190.3			
			190.4	A was pumping too much												
B: %mm okay.  			191						mm  okay=B acknowledges 190							
A: we ended up with a freezer full like we found a year later a freezer full of breast milk. [[said laughing]] 	we=A and Kevin		192.1	Kevin and A ended up with a freezer full of breast milk						CT+ 192.1	CT+ 192.1	JA 192.1	JA 192.1			
			192.2	Kevin and A  found a year later a freezer full of breast milk. 					A laughs at the amount of breat milk they used to store in the fridge	CT+ 192.2	CT+ 192.2	JA 192.2	JA 192.2			
B: {laugh} God.  			193						God=B is surprised at 192							
A: oh let’s just throw this all away.  	this=breast milk		194.1	A suggested that A and Kevin should throw the old breast milk from the freezer						CT+ 194.1	CT+ 194.1	JA 194.1	JA 194.1	C	Here the event needs to be altered, if we leave it as it, it won't be as informative. We always try to convey the most meaning in the events	
			194.2	A and Kevin should throw the old breast milk from the freezer						CT+ 194.2	CT+ 194.2	JA 194.2	JA 194.2			
B: {laugh} 			195						B laughs at the excess of old breast milk in A's and Kevin's fridge							
A: It’s like all that hard work but it was either you know it was either explode or {breath} you know pretty much 	It=the pumping (?)		196.1	The pumping was hard work						CT+ 196.1	CT+ 196.1	JA 196.1	JA 196.1			
			196.2	It was either to explode or pump the breast milk					you know=interjection	CT+ 196.2	CT+ 196.2	JA 196.2	JA 196.2	C	LET"S TALK -- still not sure how to deal with the disjunction	
B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.  	I=B,you=one,one=child (?)		197.1	B thought one totally got down to the level					like=interjection	CT+ 197.1	CT+ 197.1	JA 197.1	JA 197.1			
			197.2	One totally got down to the level						NB 197.2	PS 197.2			LI	 embedded under 'think'; A's bel is NB because of A's answer in 198.1	
			197.3	So even if one breast fed one child once a day, that is how much milk would one have						NB 197.3	PS 197.3			LI	follows from the uncertain belief about event in 197.2	
			197.4	One breast fed one's child once a day						NB 197.4	NB 197.4					
			197.5	One would produce that much milk						NB 197.5	NB 197.5					
A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].  	I=A,you=B		198.1	A doesn't know much much milk would one have depending on the frequency of breast feeding						CT+ 198.1	CT+ 198.1	JA 198.1	JA 198.1			
			198.2	All A can tell B is to get a big bag						CT+ 198.2	CT+ 198.2	JA 198.2	JA 198.2			
			198.3	B is to get a big bag						PS 198.3	PS 198.3			C	it seems like a suggestion that B is netertaining but does not express any commitment to	
B: {laugh} okay [[says laughing]] 			199						okay=B agrees that B should consider 198.3							
A: {inhale} It’s like once I started at at work I you know 			200						It's like = it suggests that A will say something related to the topic of the current conversation							
A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it. 	he=A's child,you=one		201.1	Once A started at work and A's child was bigger or something, A was making two bags of milk						CT+ 201.1	CT+ 201.1	JA 201.1	JA 201.1	C	when some informatio is missing, we need to add what is elided but understood by the speakers	
			201.2	A started at work after delivering the child					it was like=A is about to describe a situation that might not be the exact representation of reality (???)	CT+ 201.2	CT+ 201.2	IN 201.2	IN 201.2	C		
			201.3	A's child was bigger						CT+ 201.3	CT+ 201.3	IN 201.3	IN 201.3			
			201.4	A was making two bags of milk						CT+ 201.4	CT+ 201.4	JA 201.4	JA 201.4			
			201.5	If one sat down, one either did two bags or one would explode						CT+ 201.5	CT+ 201.5	JA 201.5	JA 201.5			
			201.6	One sat down						NB 201.6	NB 201.6					
			201.7	One did either two bags of milk or one would explode						CT+ 201.7	CT+ 201.7	JA 201.7	JA 201.7			
A: And she just couldn’t quite drink that much so {lipsmack} 	she=A's child		202	A's child could not quite drink that much						CT+ 202	CT+ 202	JA 202	JA 202			
B: %mm okay.  			203													
A: You know that was why I was working in the morning the morning’s when you do the most. {breath} Everybody’s different so it probably 	I=A,you=one,working=milk pumping (???),it=milk pumping in the morning		204.1	A was pumping the milk in the morning because the morning is when one does the most milk					you know=interjection	CT+ 204.1	CT+ 204.1	JA 204.1	JA 204.1			
			204.2	A was pumping milk in the morning						CT+ 204.2	CT+ 204.2	JA 204.2	JA 204.2			
			204.3	The morning is when one does the most milk	 → 204.4 PS					CT+ 204.3	PS 204.3	JA 204.3	JA 204.3	C	because of B's response in 205	
			204.4	Everybody is different so milk pumping in the morning may not work for everyone						CT+ 204.4,PS 204.3	CT+ 204.4	JA 204.4	JA 204.4			
			204.5	Everybody is different						CT+ 204.5	CT+ 204.5	IN 204.5	IN 204.5	WK		
			204.6	Milk pumping in the morning may not work for everyone						CT+ 204.6	CT+ 204.6	JA 204.6	JA 204.6			
B: yeah yeah that’s true. {inhale} Well I only have fourteen weeks left so.  	I=B		205.1	B only has fourteen weeks left before B delivers B's child					yeah yeah that's true=B explicitly agrees with 204.5	CT+ 205.1	CT+ 205.1	JA 205.1	JA 205.1			
			205.2	B will deliver B's child						CT+ 205.2	CT+ 205.2	IN 205.2	IN 205.2	C	presupposed	
A: Wow you’re getting there. [[drawn out]] 	you=B,there=B's child birth		206	B is getting closer to B's baby birth			 → 207 IN	 → 207 CT-	wow=excitement	CT+ 206	CT+ 206	JA 206	JA 206			
B: I know {breath} I know.  	I=B		207	B knows 206						CT+ 207	CT+ 207	JA 207,IN 206	JA 207,IN 206	LI	206 is reasserted as being part of CG already	
A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]] 			208.1	A is stopping with the miscarriage anxiety					A laughs about 208.1 and 208.2	PS 208.1	PS 208.1	JA 208.1	JA 208.1	C	A laughs at events in 208 which suggests that A does not express certain belief in those	
			208.2	A is starinng with the delivery anxiety						PS 208.2	PS 208.2	JA 208.2	JA 208.2			
B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.  	I=B,you=one		209.1	B had the miscarriage anxiety up until the delivery because one has all those wishers telling one about all those things					I know oh no=B emphatizes  with A about the pregnany  related anxieties	CT+ 209.1	CT+ 209.1	JA 209.1	JA 209.1			
			209.2	B had the miscarriage anxiety up until the delivery						CT+ 209.2	CT+ 209.2	JA 209.2	JA 209.2			
			209.3	One has all those wishers telling one about all those things						CT+ 209.3	CT+ 209.3	JA 209.3	JA 209.3			
A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.  	you=one,their=people's,me=A,they=people,you 2=pregnant woman		210.1	Everybody wants to start telling one about their pregnancy experience						CT+ 210.1	CT+ 210.1	JA 210.1	JA 210.1			
			210.2	People would corner A to tell A about people's hysterectomies						CT+ 210.2	CT+ 210.2	JA 210.2	JA 210.2			
			210.3	People would corner A						NB 210.3	NB 210.3					
			210.4	People would tell A about people's hysterectomies						CT+ 210.4	CT+ 210.4	JA 210.4	JA 210.4			
			210.5	People had hysterectomies						CT+ 210.5	CT+ 210.5	IN 210.5	IN 210.5	C	presupposed	
			210.6	When people see a pregnant woman, the people think of OB gyn						CT+ 210.6	CT+ 210.6	JA 210.6	JA 210.6			
			210.7	People see a pregnant woman						NB 210.7	NB 210.7					
			210.8	People think of OB gyn						NB 210.8	NB 210.8					
			210.9	People who think of OB gyn when seeing a pregnant woman got to tell the pregnant woman about the people's hysterectomies						CT+ 210.9	CT+ 210.9	JA 210.9	JA 210.9			
B: oh my god.  			211						oh my god=B expresses annoyance about 210							
B: you know [distorted] 			212						you know=interjection							
B: yeah 			213						yeah=interjection							
B: Well I’ve heard the cord accident stories 	I=B		214	B's heard the cord accident stories					well=interjection	CT+ 214	CT+ 214	JA 214	JA 214			
B: which had me like totally and completely freaked out.  	which=the cord accident stories,me=B		215	The cord accident stories had B totally and completely freaked out					like=interjection	CT+ 215	CT+ 215	JA 215	JA 215			
B: a- are you still there? 	you=A,there=on the phone		216.1	B asks A if A is still on the phone						CT+ 216.1	CT+ 216.1	JA 216.1	JA 216.1			
			216.2	A is still on the phone	 → 217 CT+		 → 217 JA	 → 217 CT+		NB 216.2	CT+ 216.2					
A: yeah ((I’m still here)) [distortion] 			217							CT+ 216.2		JA 216.2	JA 216.2			
B: oh so I had so I talked to my doctor about it and apparently it’s very rare [[said laughing]] so don’t ask me why I’ve heard so many stories about it but {sniff} 	I=B,me=B,it=the cord accidents,my=B's		218.1	B talked to B's doctor about the cord accidents						CT+ 218.1	CT+ 218.1	JA 218.1	JA 218.1			
			218.2	The cord accidents are apparently very rare						CT+ 218.2	CT+ 218.2	JA 218.2	JA 218.2			
			218.3	B requests A not to ask B why B's heard so many stories about the cord accidents						CT+ 218.3	CT+ 218.3	JA 218.3	JA 218.3			
			218.4	A asks B why B's heard so many stories about the cord accidents						CT- 218.4	CT- 218.4	RT 218.4	RT 218.4			
			218.5	B's heard so many stories about the cord accidents						CT+ 218.5	CT+ 218.5	IN 218.5	IN 218.5	C	implied from events in 214, 218.1	
B: oh yeah and then there was this friend I had she was eight and a half months pregnant and you know {breath} baby had a cord accident and she died. [[said laughing]] 	I=B,she=B's friend,she 2=B's friend's baby		219.1	There was B's friend that B had					oh yeah=B remembers a story about the cord accidents	CT+ 219.1	CT+ 219.1	JA 219.1	JA 219.1			
			219.2	B had a friend					you know=interjection	CT+ 219.2	CT+ 219.2	JA 219.2	JA 219.2	C	presupposition accomodation	
			219.3	B's friend was eight and a half months pregnant						CT+ 219.3	CT+ 219.3	JA 219.3	JA 219.3			
			219.4	B's friend's baby had a cord accident						CT+ 219.4	CT+ 219.4	JA 219.4	JA 219.4			
			219.5	B's friend's baby died						CT+ 219.5	CT+ 219.5	JA 219.5	JA 219.5			
A: Like most people they just have babies it all works out.  			220.1	It all works out for most people who have babies			 → 221.1 IN	 → 221.1 CT-		CT+ 220.1	CT+ 220.1	JA 220.1	JA 220.1			
			220.2	People have babies						NB 220.2	NB 220.2					
B: yeah. I know. I know so I’m not so freaked out anymore.  	I=B		221.1	B knows 220.1						CT+ 221.1	CT+ 221.1	JA 221.1,IN 220.1	JA 221.1,IN 220.1			
			221.2	B is not so freaked out anymore						CT+ 221.2	CT+ 221.2	JA 221.2	JA 221.2			
A: Good.  			222						Good=A is happy that 221.2							
B: {lipsmack} That was like I was talking to &Erica on the phone and %uh 	I=B,Erica	Erica	223	B was talking to Erica on the phone						CT+ 223	CT+ 223	JA 223	JA 223			
B: that’s what she told me she’s like but d- to say that it was okay she was like saying that well you know but this woman is pregnant again and you know will have her baby again soon so it was like no big deal. 	she=Erica,it=loosing Erica's baby,woman=B's friend who lost the child,her=B's friend who lost the child's		224.1	Erica told B that B's friend loosing B's friend baby was okay						CT+ 224.1	CT+ 224.1	JA 224.1	JA 224.1			
			224.2	B's friend loosing B's friend baby was okay						CT- 224.2	CT- 224.2	RT 224.2	RT 224.2	C	 In 227.1 B disagrees, and 228 A does	
			224.3	B's friend is pregnant again					like = interjection	CT+ 224.3	CT+ 224.3	JA 224.3	JA 224.3			
			224.4	B's friend will have B's friend baby again soon so B's friend's loosing B's friend's baby was no big deal					you know= interjection	CT+ 224.4	CT+ 224.4	JA 224.4	JA 224.4			
			224.5	B's friend will have B's friend baby again soon 						CT+ 224.5	CT+ 224.5	JA 224.5	JA 224.5			
			224.6	B's friend's loosing B's friend's baby was no big deal						CT- 224.6	CT- 224.6	RT 224.6	RT 224.6	C	 In 227.1 B disagrees, and 228 A does	
A: No yeah.  			225						No yeah= A agrees with 224							
B: But having never been pregnant before, you know I’m sure &Erica has like no idea this woman must be on just you know absolute.  	I=B,woman=B's friend who lost the baby		226	 					you know=interjection; like = interjection							
B: pins and needles.  She must be having the most miserable pregnancy in the whole world.  	She=B's friend		227.1	But having never been pregnant before, B's sure Erica has no idea B's friend must be on just absolute pins and needles						CT+ 227.1	CT+ 227.1	JA 227.1	JA 227.1			
			227.2	Erica has never been pregnant before						CT+ 227.2	CT+ 227.2	JA 227.2	JA 227.2	C	presupposition accommodation	
			227.3	B is sure Erica has no idea B's friend must be on just absolute pins and needles						CT+ 227.3	CT+ 227.3	JA 227.3	JA 227.3			
			227.4	Erica has no idea B's friend must be on just absolute pins and needles						CT+ 227.4	CT+ 227.4	JA 227.4	JA 227.4			
			227.5	B's friend must be on just absolute pins and needles						CT+ 227.5	CT+ 227.5	JA 227.5	JA 227.5			
			227.6	B's friend is on just absolute pins and needles						PS 227.6	PS 227.6	JA 227.6	JA 227.6	LI	embedded under must -- indicates less than certain belief (???)	
			227.7	B's friend must be having the most miserable pregnancy in the whole world						CT+ 227.7	CT+ 227.7	JA 227.7	JA 227.7			
			227.8	B's friend is having the most miserable pregnancy in the whole world						PS 227.8	PS 227.8	JA 227.8	JA 227.8			
A: yeah that’s such a public thing.  Like everyone knew she was pregnant.  I mean once you’re eight and half months, man, I mean there was nothing nice about it (( )) 	that=loosing a baby,she=B's friend,I=A,you=one		228.1	Loosing a baby is such a public thing					like=interjection	CT+ 228.1	CT+ 228.1	JA 228.1	JA 228.1			
			228.2	Everyone knew B's friend was pregnant						CT+ 228.2	CT+ 228.2	JA 228.2	JA 228.2			
			228.3	B's friend was pregnant					I mean= (???)	CT+ 228.3	CT+ 228.3	IN 228.3	IN 228.3	LI	embeded under 'know	
			228.4	There was nothing nice about being pregnant eight and half months and loosing the baby			 → 229 IN	 → 229 CT-	man=expression of empathy	CT+ 228.4	CT+ 228.4	JA 228.4	JA 228.4			
			228.5	There was nothing nice about being pregnant eight and half months						CT+ 228.5	CT+ 228.5	JA 228.5	JA 228.5			
			228.6	There was nothing nice about loosing the baby						CT+ 228.6	CT+ 228.6	JA 228.6	JA 228.6			
B: I know.  	I=B		229	B knows 228.4						CT+ 229	CT+ 229	JA 229,IN 228.4	JA 229,IN 228.4			
