Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
			148.2	A got Jody's postcard		 → 150 CT-	 → 150 RT	 → 150 PS		CT- 148.2	NB 148.2					
A: I haven’t heard 	I=A		149						unfinished utterance							
A: %hm from her? 	her=Jody		150	A hasn't heard from Jody						CT+ 150	CT+ 150,CT- 148.2	JA 150,RT 148.2	JA 150,RT 148.2			
B: yeah.  			151													
A: No %huh I haven’t heard from her at all.  	I=A,her=Jody		152	A hasn't heard from Jody at all						CT+ 152	CT+ 152	IN 152	IN 152	C	already in CG at 150, just expressed in a stronger way	
B: She sent you a postcard. In fact we both sent you postcards.  	She=Jody,you=A,we=Jody and B		153.1	Jody sent A a postcard						CT+ 153.1	CT+ 153.1	JA 153.1	JA 153.1			
			153.2	In fact Jody and B both sent A postcards						CT+ 153.2	CT+ 153.2	JA 153.2	JA 153.2			
A: %ah.  			154						%ah.  = A expresses surprise							
A: All right. [[drawn out]] 			155						= A expresses surprise							
B: yeah. {breath} You know what? 	You=A		156	B is about to tell A something					You know what? = B indicates change of subject is about to happen	CT+ 156	CT+ 156	JA 156	JA 156			
A: What? 			157.1	A asks B what does B want to tell A						CT+ 157.1	CT+ 157.1	JA 157.1	JA 157.1			
			157.2	B wants to tell A something						CT+ 157.2	CT+ 157.2	IN 157.2	IN 157.2			
B: I just came back from the &U &S and I have some letters for you including that little package. I don’t know what to do with that little package.  	I=B,you=A		158.1	B just came back from the US						CT+ 158.1	CT+ 158.1	JA 158.1	JA 158.1			
			158.2	B has some letters for A including that little package						CT+ 158.2	CT+ 158.2	JA 158.2	JA 158.2			
			158.3	B doesn't know what to do with that little package						CT+ 158.3	CT+ 158.3	JA 158.3	JA 158.3			
			158.4	Something has to be done with that little package						CT+ 158.4	CT+ 158.4	IN 158.4	IN 158.4	C	presupposed	
A: {laugh} 			159						A laughs at 158							
B: I it, it is henna.  	it=the little package		160	The little package is henna						CT+ 160	CT+ 160	JA 160	JA 160			
A: uh-huh.  			161						uh-huh.  = A acknowledges 160							
B: And %um I don’t know 			162						unfinished sentence							
A: Well I think, no you know what I think you should do.  	I=A,you=B		163.1	B knows what A thinks B should do						CT+ 163.1	CT+ 163.1	JA 163.1	JA 163.1			
			163.2	A thinks B should give the henna package to Magda						CT+ 163.2	CT+ 163.2	JA 163.2	JA 163.2			
			163.3	B should give the henna package to Magda						CT+ 163.3	CT- 163.3	RT 163.3	RT 163.3	C	B's silence indicates thta B does not approve of 163.3	
B: (( )) [distortion] 			164													
A: &Dorota please. Really.  	Dorota=B		165.1	A asks Dorota to give the henna package to Magda						CT+ 165.1	CT+ 165.1	JA 165.1	JA 165.1			
			165.2	Dorota gives the henna package to Magda						CT- 165.2	CT- 165.2	RT 165.2	RT 165.2	C	A contiues with the requests which indicates that 165.2 has been rejected	
B: %uh. [distorted] 			166													
A: The package of henna, share it with &Magda.  			167.1	A asks Dorota to share the package of henna with Magda						CT+ 167.1	CT+ 167.1	JA 167.1	JA 167.1			
			167.2	Dorota shares the package of henna with Magda						CT- 167.2	CT- 167.2	RT 167.2	RT 167.2			
B: {laugh} &Magda is gone so maybe I’ll do it in my hair.  	I=B		168.1	Magda is gone so maybe Dorota will do the henna in Dorota's hair						CT+ 168.1	CT+ 168.1	JA 168.1	JA 168.1			
			168.2	Magda is gone						CT+ 168.2	CT+ 168.2	JA 168.2	JA 168.2			
			168.3	Dorota will do the henna in Dorota's hair						CT+ 168.3	CT+ 168.3	JA 168.3	JA 168.3			
A: okay. {laugh} It’s a nice brown.  	It=The henna		169	The henna is a nice brown color					okay. = A agrees with 168.3	CT+ 169	CT+ 169	JA 169	JA 169			
B: oh is it? Good, good.  			170						oh is it? Good, good.  = B expresses excitement about the color of henna							
A: yeah. Well a friend of mine from &Florida sent that to me. 	mine=A,me=A		171	A friend from Florida send the henna to A						CT+ 171	CT+ 171	JA 171	JA 171			
B: %eh yeah. She’s from &Gainesville (( )) 	She=A's friend		172	A's friend is from Gainesville			 → 173 IN	 → 173 CT-		CT+ 172	CT+ 172	JA 172	JA 172			
A: &Gainesville &Florida. mhm. [channel noise] 			173									IN 172	IN 172			
B: <? (( ))> {laugh} 			174						B laughs at 172							
A: yeah <? (( ))> 			175													
B: (( )) 			176													
A: And  			177													
A: yeah so {breath} I I would like to think that it goes to a good because sending it back to me would probably just be ludicrous so {breath} you know why don’t you just 	I=A,it=the henna package,me=A,you=Dorota		178.1	A would like to think that the henna package goes in good hands because sending the henna package back to A would probably just be ludicrous so Dorota should keep the henna package						CT+ 178.1	CT+ 178.1	JA 178.1	JA 178.1			
			178.2	A would like to think that the henna pacakge goes in good hands						CT+ 178.2	CT+ 178.2	JA 178.2	JA 178.2			
			178.3	The henna pacakge goes in good hands						CT+ 178.3	CT+ 178.3	IN 178.3	IN 178.3	C	presupposed given if the package stays with Dorota	
			178.4	Sending the henna package to A would be ludicrous						CT+ 178.4	CT+ 178.4	JA 178.4	JA 178.4			
			178.5	Dorota should keep the henna package						CT+ 178.5	CT+ 178.5	JA 178.5	JA 178.5			
B: [distortion] So I can keep it. [/distortion] 	I=Dorota		179	Dorota can keep the henna package						CT+ 179	CT+ 179	JA 179	JA 179			
B: I’m opening it up right now as you speak so I can put a ((world peace)) stamp on it.  	it=the henna package,I=Dorota		180.1	Dorota is opening up the henna package right now so Dorota can put a world peace stamp on the henna package						CT+ 180.1	CT+ 180.1	JA 180.1	JA 180.1			
			180.2	Dorota is opening up the henna package right now						CT+ 180.2	CT+ 180.2	JA 180.2	JA 180.2			
			180.3	Dorota can put a world peace stamp on the henna package					Dorota jokes about 180.3	CT+ 180.3	CT+ 180.3	JA 180.3	JA 180.3			
A: uh-huh.  			181						uh-huh.  = A acknowledges 180							
A: All right.  			182						All right.  = A expresses understading of the joke in 180.3							
B: All right. {laugh} 			183						All right. {laugh} = Dorota laughs at 180.3							
A: {laugh} 			184						{laugh} = A laughs at 180.3							
B: You know what? I’ve been saying all right all the time now.  	I=Dorota		185	Dorota has been saying "all right" all the time now					You know what? = Dorota  indicates an upcoming change of subject	CT+ 185	CT+ 185	JA 185	JA 185			
B: I went to this conference in the &U &S and they’re like w- w- where did you get that I’m like 	I=Dorota,that="all right" expression repetitions,they=people at the conference		186.1	Dorota went to this conference in the US						CT+ 186.1	CT+ 186.1	JA 186.1	JA 186.1			
			186.2	People at the conference asked Dorota where did Dorota get that "all right" expression from						CT+ 186.2	CT+ 186.2	JA 186.2	JA 186.2			
			186.3	Dorota got "all right" expression from somewhere						CT+ 186.3	CT+ 186.3	IN 186.3	IN 186.3	C	presupposed	
A: Great.  			187						Great.  = A acknowledges 186							
A: (( )) 			188													
B: I’m like %uh that’s a really long story. [[laughing during last word]] 	that=the origin of the "all right" expression,I=B		189	The origin of the "all right" expression is a really long story						CT+ 189	CT+ 189	JA 189	JA 189			
A: {laugh} 			190						A laughs at 189							
B: See there was this volunteer and she used to know this old man because she used to work (( )) [distortion] and this man would just sit there and say all right.  {laugh} 	she=this volunteer		191.1	There was this volunteer 						CT+ 191.1	CT+ 191.1	JA 191.1	JA 191.1			
			191.2	This volunteer used to know this old man because this voluneer used to work (somewhere)						CT+ 191.2	CT+ 191.2	JA 191.2	JA 191.2			
			191.3	This volunteer used to know this old man						CT+ 191.3	CT+ 191.3	JA 191.3	JA 191.3			
			191.4	This volunteer used to work (somewhere)						CT+ 191.4	CT+ 191.4	JA 191.4	JA 191.4			
			191.5	This old man would sit there						CT+ 191.5	CT+ 191.5	JA 191.5	JA 191.5			
			191.6	This old man would say "all right"						CT+ 191.6	CT+ 191.6	JA 191.6	JA 191.6			
A: {laugh} 			192						A laughs at 191							
A: I have another one though too and &Tom was really getting sick of it. What was it? 	I=A,one=expression,it=the new expression		193.1	A has another expression						CT+ 193.1	CT+ 193.1	JA 193.1	JA 193.1			
			193.2	Tom was really getting sick of the new expression						CT+ 193.2	CT+ 193.2	JA 193.2	JA 193.2			
			193.3	A cannot remember the new expression						CT+ 193.3	CT+ 193.3	JA 193.3	JA 193.3			
B: (( )).  			194													
A: I’ll have to think of it. It’s an-, it’s another one of those %uh all right 	I=A,it=the new expression		195	A has to think of the new expression						CT+ 195	CT+ 195	JA 195	JA 195			
B: **Yuh** [distorted and channel echo] 			196													
A: because he g-, he says what does that mean when I say it now. It’s like 	that=the new expression,he=Tom		197.1	Tom asked A what the new expression meant when A said it then						CT+ 197.1	CT+ 197.1	JA 197.1	JA 197.1			
			197.2	The new expression meant something when A said it then						CT+ 197.2	CT+ 197.2	IN 197.2	IN 197.2	C	presupposed	
			197.3	A said the new expression then						CT+ 197.3	CT+ 197.3	JA 197.3	JA 197.3			
A: %uh I, I need to know more information.  	I=A		198.1	A needs to know more information						CT+ 198.1	CT+ 198.1	JA 198.1	JA 198.1			
			198.2	A knows more information						CT- 198.2	CT- 198.2	RT 198.2	RT 198.2	LI	 embedded under "needs to", which indicates that it has not happened yet	
B: {laugh} 			199													
A: Just hearing all right isn’t enough okay?  			200	Just hearing "all right" isn't enough						CT+ 200	CT+ 200	JA 200	JA 200			
A: {laugh} 			201													
B: aw all right.  			202													
B: It’s like catchy man.  			203													
A: It is. And you know 			204													
B: I can’t stop myself from saying it yet [distortion].  			205													
A: yeah. So %um but anyway I want to come visit you.  			206													
B: When? 			207													
A: Next summer.  			208													
B: oh I’d love to {breath} except {breath} you have 			209													
A: You’re going to be gone. What? 			210													
