Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
			146.4	Kara didn't come			 → 207 IN	 → 207 CT-		CT+ 146.4	CT+ 146.4	JA 146.4	JA 146.4			
A: {breath} And I said what.  			147						A was surprised about 146.4							
A: He said no she didn’t come. She %uh she didn’t like the last two conversations that she had with you. She %uh doesn’t, didn’t like what you s- you had to say to her.  			148.1	Kara didn't like the last two conversations that Kara had with A						CT+ 148.1	CT+ 148.1	JA 148.1	JA 148.1			
			148.2	Kara and A had two conversations						CT+ 148.2	CT+ 148.2	IN 148.2	IN 148.2			
			148.3	Kara didn't like what A had to say to Kara			 → 207 IN	 → 207 CT-		CT+ 148.3	CT+ 148.3	JA 148.3	JA 148.3			
			148.4	A said soemthing to Kara						CT+ 148.4	CT+ 148.4	IN 148.4	IN 148.4			
B: So they still backing her.  			149	A and B's mom and dad are still backing Kara						CT+ 149	CT+ 149	JA 149	JA 149			
A: And you want to know something? 			150.1	A asks B if B wants to know somehting						CT+ 150.1	CT+ 150.1	JA 150.1	JA 150.1			
			150.2	B wants to know somehting	 → 151 CT+		 → 151 JA	 → 151 CT+		PS 150.2	CT+ 150.2	JA 150.2	JA 150.2			
B: What? 			151							CT+ 150.2		JA 150.2	JA 150.2			
A: They probably told her it was okay not to come. They probably said yeah [[drawn out]] we don’t like how she talks to us either. [[bitter evocation of parental diction in previous ten words]] 			152.1	A and B's mom and dad probably told Kara it was okay not to come						CT+ 152.1	CT+ 152.1	JA 152.1	JA 152.1			
			152.2	It was okay for Kara not to come						CT- 152.2	CT- 152.2	RT 152.2	RT 152.2			
B: {laugh} 			153													
A: I bet, what do you want to bet because 			154	A bets that A and B's mom and dad told Kara it was okay not to come						CT+ 154	CT+ 154	JA 154	JA 154			
A: don’t you think they could have made her come? 			155.1	A asks B if B doesn't think A and B's mom and dad could have made Kara come						CT+ 155.1	CT+ 155.1	JA 155.1	JA 155.1			
			155.2	B doesn't think A and B's mom and dad could have made Kara come	 → 156 CT-		 → 156 RT	 → 156 PS		PS 155.2	CT- 155.2					
			155.3	A and B's mom and dad could have made Kara come			 → 156 JA	 → 156 CT+		CT+ 155.3	CT+ 155.3	 155.3	 155.3			
			155.4	A and B's mom and dad made Kara come						CT- 155.4	CT- 155.4	RT 155.4	RT 155.4			
B: yeah.  			156	B thinks A and B's mom and dad could have made Kara come						CT+ 156,CT- 155.2	CT+ 156	JA 156,RT 155.2,JA 155.3	JA 156,RT 155.2,JA 155.3			
B: They would’ve made anybody else come.  			157.1	A and B's mom and dad would have made anybody else come						CT+ 157.1	CT+ 157.1	JA 157.1	JA 157.1			
			157.2	A and B's mom and dad made anybody else come						CT- 157.2	CT- 157.2	RT 157.2	RT 157.2			
A: Sure.  			158													
A: They would’ve said get your ass in the car.  			159.1	A and B's mom and dad would have told Kara to get Kara's ass in the car						CT+ 159.1	CT+ 159.1	JA 159.1	JA 159.1			
			159.2	A and B's mom and dad told Kara to get Kara's ass in the car						CT- 159.2	CT- 159.2	RT 159.2	RT 159.2			
A: Whether y- 			160													
B: Say god damn we don’t want to hear no fucking shit. Let’s go.  			161.1	A and B's mom and dad should have said A and B's mom  and dad don't want to hear no fucking shit						CT+ 161.1	CT+ 161.1	JA 161.1	JA 161.1			
			161.2	A and B's mom and dad said A and B's mom and dad don't want to hear no fucking shit						CT- 161.2	CT- 161.2	RT 161.2	RT 161.2			
			161.3	A and B's mom and dad don't want to hear no fucking shit						CT- 161.3	CT- 161.3	RT 161.3	RT 161.3			
			161.4	A and B's mom and dad should have told Kara to go						CT+ 161.4	CT+ 161.4	JA 161.4	JA 161.4			
			161.5	A and B's mom and dad told Kara to go						CT- 161.5	CT- 161.5	RT 161.5	RT 161.5			
A: [background noise] Whether you’re thirty-six or twenty-six it don’t matter.  			162	Parents can tell children what to do whether the children are thirty-six of twenty-six						CT+ 162	CT+ 162	JA 162	JA 162			
B: yeah.  			163													
A: You would’ve been in that god damn car.  			164	B would have been in that god damn car						CT+ 164	CT+ 164	JA 164	JA 164			
A: Well 			165													
A: {breath} it was just like well we’ll show her for spouting her mouth off.  			166	A and B's mom and dad wanted to show A for spouting A's mouth						CT+ 166	CT+ 166	JA 166	JA 166			
B: She won’t get to see the baby.  			167.1	A won't get to see the baby						CT+ 167.1	CT+ 167.1	JA 167.1	JA 167.1			
			167.2	A saw the baby						CT- 167.2	CT- 167.2	RT 167.2	RT 167.2			
A: yeah.  			168													
A: Exactly. We’ll punish her.  			169	A and B's mom and dad will punish A						CT+ 169	CT+ 169	JA 169	JA 169			
A: {breath} So then he just calls.  The old man just calls me and says 			170	A and B's dad just called						CT+ 170	CT+ 170	JA 170	JA 170			
A: I got my messy {breath} mess- message {breath} machine and says {breath} %uh yeah we want to we want &Ryan to come out. We don’t think it’s fair that &Ryan can’t come out. {breath} [[mocking imitation of family member in last twenty one words]] 			171.1	A and B's dad had message						CT+ 171.1	CT+ 171.1	JA 171.1	JA 171.1			
			171.2	A and B's mom and dad want Ryan to come out						CT+ 171.2	CT+ 171.2	JA 171.2	JA 171.2			
			171.3	A and B's mom and dad don't think it's fair that Ryan can't come out						CT+ 171.3	CT+ 171.3	JA 171.3	JA 171.3			
			171.4	It's fair that Ryan can't come out						CT+ 171.4	NB 171.4	RT 171.4	RT 171.4			
			171.5	Ryan can't come out						NB 171.5	NB 171.5					
A: And %uh cause I, I, I said I’m not going to meet them in &Des &Moines.  I c-, I can’t be with them &Tad. I get I, I lose two weeks of my life every time I’m with them. Mentally I can’t take it.  			172.1	A said that A is not going to meet A and B's mom and dad in Des Moines						CT+ 172.1	CT+ 172.1	JA 172.1	JA 172.1			
			172.2	A is not going to meet A and B's mom and dad in Des Moines						CT+ 172.2	CT+ 172.2	JA 172.2	JA 172.2			
			172.3	A can't be with A and B's mom and dad						CT+ 172.3	CT+ 172.3	JA 172.3	JA 172.3			
			172.4	A looses two weeks of A's life every time A is with A and B's mom and dad						CT+ 172.4	CT+ 172.4	JA 172.4	JA 172.4			
			172.5	A is with A and B's mom and dad						CT- 172.5	CT- 172.5	RT 172.5	RT 172.5			
			172.6	A can't mentally take A and B's mom and dad 						CT+ 172.6	CT+ 172.6	JA 172.6	JA 172.6			
B: Well why do you think nobody else has no -- 			173						unfinished utterance							
A: I, I can’t, I can’t do it anymore.  			174	A can't spend so much time with A and B's mom and dad anymore						CT+ 174	CT+ 174	JA 174	JA 174			
B: -- contact with them.  			175.1	B asks A why does A think nobody else contacts A and B's mom and dad						CT+ 175.1	CT+ 175.1	JA 175.1	JA 175.1			
			175.2	Nobody else contacts A and B's mom and dad						CT+ 175.2	CT+ 175.2	IN 175.2	IN 175.2			
A: I, I just can’t. {breath} 			176													
B: I mean that pissed me off the last time they were here so. 			177.1	B was pissed at A and B's mom and dad last time A and B's mom and dad visited B						CT+ 177.1	CT+ 177.1	JA 177.1	JA 177.1			
			177.2	A and B's mom and dad visited B						CT+ 177.2	CT+ 177.2	JA 177.2	JA 177.2			
A: But it’s never their fault.  			178	It's never A and B's mom and dad's fault						CT- 178	CT- 178	RT 178	RT 178			
A: It’s never for anything that they’ve done.  			179.1	It's never A and B's mom and dad's fault for anything A and B's mom and dad have done						CT- 179.1	CT- 179.1	RT 179.1	RT 179.1			
			179.2	A and B's mom and dad have done something						CT+ 179.2	CT+ 179.2	IN 179.2	IN 179.2			
B: I know that and I mean i- i- you get blamed, you still get blamed for shit and, and lectured about shit that happens when you’re a kid or, or, or whatever and all that I mean.  			180.1	One gets blamed for shit						CT+ 180.1	CT+ 180.1	JA 180.1	JA 180.1			
			180.2	One gets lectured about shit that happens when one is a kid						CT+ 180.2	CT+ 180.2	JA 180.2	JA 180.2			
			180.3	Shit happens when one is a kid						CT+ 180.3	CT+ 180.3	IN 180.3	IN 180.3			
A: Well I don’t get it for that but %um so then dad, dad says now why {breath} don’t you want to go to &Des &Moines and I said because I don’t.  			181.1	The A and B's dad asked A why A doesn't want to go to Des Moines						CT+ 181.1	CT+ 181.1	JA 181.1	JA 181.1			
			181.2	A doesn't want to go to Des Moines						CT+ 181.2	CT+ 181.2	IN 181.2	IN 181.2			
			181.3	A said that because A doesn't want to go to Des Moines						CT+ 181.3	CT+ 181.3	JA 181.3	JA 181.3			
			181.4	A doesn't want to go to Des Moines						CT+ 181.4	CT+ 181.4	JA 181.4	JA 181.4			
A: I said I thought we’d already been through this cause I already told them I didn’t want to go to &Des M&oines.  			182.1	A said A thought A and A and B's mom and dad have already been through this because A already told A and B's mom and dad A didn't want A to go to Des Moines						CT+ 182.1	CT+ 182.1	JA 182.1	JA 182.1			
			182.2	A thought A and A and B's mom and dad have already been through this because A already told A and B's mom and dad A didn't want A to go to Des Moines						CT+ 182.2	CT+ 182.2	JA 182.2	JA 182.2			
			182.3	A thought A and A and B's mom and dad have already been through this						CT+ 182.3	CT+ 182.3	JA 182.3	JA 182.3			
			182.4	A already told A and B's mom and dad A didn't want A to go to Des Moines						CT+ 182.4	CT+ 182.4	JA 182.4	JA 182.4			
			182.5	A didn't want A to go to Des Moines						CT+ 182.5	CT+ 182.5	IN 182.5	IN 182.5			
A: And he goes {breath} well then we’ll drive to &Omaha and pick up sh- %um &Ryan {breath} and, and then %uh we’ll bring him back {breath} and then we’ll %uh bring him back home to &Omaha.  And I said {breath}  			183.1	A and B's dad said that A and B's mom and dad will drive to Omaha and pick up Ryan and then bring Ryan back home to Omaha						CT+ 183.1	CT+ 183.1	JA 183.1	JA 183.1			
			183.2	A and B's mom and dad will drive to Omaha						CT- 183.2	CT- 183.2	RT 183.2	RT 183.2			
			183.3	A and B's mom and dad will pick up Ryan 						CT- 183.3	CT- 183.3	RT 183.3	RT 183.3			
			183.4	A and B's mom and dad will bring Ran back home to Omaha						CT- 183.4	CT- 183.4	RT 183.4	RT 183.4			
B: %mm.  			184													
A: oh so you’re not and the whole thing is that I won’t let them stay in my house anymore.  			185	A won't let A and B's mom and dad stay in A's house anymore						CT+ 185	CT+ 185	JA 185	JA 185			
A: [background noise] Because I can’t have that twenty-four hour {breath} bitching and negative. I can’t. I can’t live like that.  			186.1	A can't have that twenty-four hour bitching and negative						CT+ 186.1	CT+ 186.1	JA 186.1	JA 186.1			
			186.2	A can't live with twenty-four hour bitching						CT+ 186.2	CT+ 186.2	JA 186.2	JA 186.2			
B: yeah. 			187													
B: yeah.  			188													
A: You know what I’m saying? 			189.1	A asks B if B understands A						CT+ 189.1	CT+ 189.1	JA 189.1	JA 189.1			
			189.2	B understands A	 → 190 CT+		 → 190 JA	 → 190 CT+		PS 189.2	CT+ 189.2					
B: mhm.  			190							CT+ 189.2		JA 189.2	JA 189.2			
A: It’s just twenty-four hours.  			191	A and B's mom and dad's bitching is just twenty-four hours						CT+ 191	CT+ 191	JA 191	JA 191			
A: So %um I said so, so let me understand this so you’re coming, you’re picking him up and you’re leaving? You’re not staying? Right.  And I go %hm well it sounds like we’re back to the same old 			192.1	A asked A and B's mom and dad if A and B's mom and dad  are coming, picking Ryan up, and leaving						CT+ 192.1	CT+ 192.1	JA 192.1	JA 192.1			
			192.2	A and B's mom and dad are coming, picking Ryan up, and leaving						CT- 192.2	CT- 192.2	RT 192.2	RT 192.2			
A: argument. {breath} And %um I said so you’re going to punish me because you’re offended that I don’t particularly want you to stay here in my home.  			193.1	It sounds like A and A and B's mom and dad are going back to the same old argument						CT+ 193.1	CT+ 193.1	JA 193.1	JA 193.1			
			193.2	A and A and B's mom and dad are going back to the same old argument						CT+ 193.2	CT+ 193.2	JA 193.2	JA 193.2			
			193.3	A told A and B's mom and dad that A and B's mom and dad are going to punish A because A and B's mom and dad are offended that A doesn't particularly want A and B's mom and dad to stay in A's home						CT+ 193.3	CT+ 193.3	JA 193.3	JA 193.3			
			193.4	A and B's mom and dad are going to punish A because A and B's mom and dad are offended that A doesn't particularly want A and B's mom and dad to stay in A's home						CT+ 193.4	CT+ 193.4	JA 193.4	JA 193.4			
			193.5	A and B's mom and dad are going to punish A						CT+ 193.5	CT+ 193.5	JA 193.5	JA 193.5			
			193.6	A and B's mom and dad are offended that A doesn't particularly want A and B's mom and dad to stay in A's home						CT+ 193.6	CT+ 193.6	JA 193.6	JA 193.6			
			193.7	A doesn't particularly want A and B's mom and dad to stay in A's home						CT+ 193.7	CT+ 193.7	JA 193.7	JA 193.7			
			193.8	A and B's mom and dad will stay in A's home						CT- 193.8	CT- 193.8	RT 193.8	RT 193.8			
A: {breath} Well no it’s not punishing. [[imitating bitterly]] I said well then what do you call it.  I mean I just came out and said it.  			194.1	A and B's dad said A and B's mom and dad are not punishing A						CT+ 194.1	CT+ 194.1	JA 194.1	JA 194.1			
			194.2	A and B's mom and dad are not punishing A						CT- 194.2	CT- 194.2	RT 194.2	RT 194.2			
			194.3	A asked A and B's mom and dad what A and B's mom and dad call this behavior						CT+ 194.3	CT+ 194.3	JA 194.3	JA 194.3			
			194.4	A and B's mom and dad call this behavior somethign else than punishing A						CT+ 194.4	CT+ 194.4	IN 194.4	IN 194.4			
			194.5	A just came out						CT+ 194.5	CT+ 194.5	JA 194.5	JA 194.5			
			194.6	A said 194.3						CT+ 194.6	CT+ 194.6	JA 194.6	JA 194.6			
B: yeah.  			195													
A: No you just don’t un- [[mocking imitation]] I said no dad. I think it’s you don’t understand. You don’t understand how you affect my family.  You and mom.  			196.1	A and B's dad said that A doesn't understand						CT+ 196.1	CT+ 196.1	JA 196.1	JA 196.1			
			196.2	A doesn't understand						CT- 196.2	CT- 196.2	RT 196.2	RT 196.2			
			196.3	A said that A and B's dad doesn't understand						CT+ 196.3	CT+ 196.3	JA 196.3	JA 196.3			
			196.4	A and B's dad doesn't understand						CT+ 196.4	CT+ 196.4	JA 196.4	JA 196.4			
			196.5	A and B's dad doesn't understand how A and B's mom and dad affect A's family						CT+ 196.5	CT+ 196.5	JA 196.5	JA 196.5			
			196.6	A and B's mom and dad affect A's family						CT+ 196.6	CT+ 196.6	IN 196.6	IN 196.6			
A: And and more importantly how you affect me. {breath} And he said that’s your problem. You think too much about yourself. [[imitating father in previous nine words]] 			197.1	More importantly, A and B's dad doesn't understand how A and B's mom and dad affect A						CT+ 197.1	CT+ 197.1	JA 197.1	JA 197.1			
			197.2	A and B's mom and dad affect A						CT+ 197.2	CT+ 197.2	IN 197.2	IN 197.2			
			197.3	A and B's dad said A and B's mom and dad affecting A and A's familiy is A's problem						CT+ 197.3	CT+ 197.3	JA 197.3	JA 197.3			
			197.4	A and B's mom and dad affecting A and A's familiy is A's problem						CT- 197.4	CT- 197.4	RT 197.4	RT 197.4			
A: {sniff} And I said goodbye dad.  			198	And A said "goodbye dad"						CT+ 198	CT+ 198	JA 198	JA 198			
B: %hm.  			199													
A: And I hung the phone up. {breath} 			200	And A hung up the phone						CT+ 200	CT+ 200	JA 200	JA 200			
B: Good for you.  			201	It's good for A that A hung up the phone						CT+ 201	CT+ 201	JA 201	JA 201			
A: {breath} Why does, why does our life have to be like this? I don’t get it. {breath} 			202.1	A asks B why A and B's life have to be so difficult with A and B's mom and dad						CT+ 202.1	CT+ 202.1	JA 202.1	JA 202.1			
			202.2	A and B's life is so difficult with A and B's mom and dad						CT+ 202.2	CT+ 202.2	IN 202.2	IN 202.2			
			202.3	A doesn't get why A and B's life has to be so difficult with A and B's mom and dad						CT+ 202.3	CT+ 202.3	JA 202.3	JA 202.3			
B: Well they’re the ones who created it. They’re n- 			203	A and B's mom and dad are the ones who created A and B's life						CT+ 203	CT+ 203	JA 203	JA 203			
A: Why do they have to be like that? 			204.1	A asks B why A and B's parents have to be so difficult to deal with						CT+ 204.1	CT+ 204.1	JA 204.1	JA 204.1			
			204.2	A and B's parents are so difficult to deal with			 → 205 IN	 → 205 CT-		CT+ 204.2	CT+ 204.2	IN 204.2	IN 204.2			
B: I don’t know and 			205	B doesn't know why A and B's parents are so difficult to deal with						CT+ 205	CT+ 205	JA 205,IN 204.2	JA 205,IN 204.2			
A: Dad [distortion] You know what I said to dad when he met me at the %um when he came up to our door and said {breath} &Kara’s not coming cause she doesn’t like y- you know what I said to him 			206.1	A asks B if B knows what A said to A and B's dad when A and B's dad came up to A's family's door and said Kara is not coming because Kara doesn't like what A told Kara						CT+ 206.1	CT+ 206.1	JA 206.1	JA 206.1			
			206.2	B knows what A said to A and B's dad when A and B's dad came up to A's family's door and said Kara is not coming because Kara doesn't like what A told Kara						CT- 206.2	CT- 206.2	RT 206.2	RT 206.2			
			206.3	A said something to A and B's dad when A and B's dad came up to A's family's door and said Kara is not coming because Kara doesn't like what A told Kara						CT+ 206.3	CT+ 206.3	JA 206.3	JA 206.3			
			206.4	A and B's dad came up to A's family's door and said Kara is not coming because Kara doesn't like what A told Kara						CT+ 206.4	CT+ 206.4	JA 206.4	JA 206.4			
B: What? 			207	B doesn't know what A said to A and B's dad when A and B's dad came up to A's family's door and said Kara is not coming because Kara doesn't like what A told Kara						CT+ 207	CT+ 207	JA 207,IN 146.4,IN 148.3	JA 207,IN 146.4,IN 148.3			
A: I said I hope that my, my sons never treat one another like this.  			208.1	A said A hopes that A's sons never treat one another like A and B's mom and dad treat A						CT+ 208.1	CT+ 208.1	JA 208.1	JA 208.1			
			208.2	A hopes that A's sons never treat one another like A and B's mom and dad treat A						CT+ 208.2	CT+ 208.2	JA 208.2	JA 208.2			
			208.3	A's sons never treat one another like A and B's mom and dad treat A						PS 208.3	PS 208.3	JA 208.3	JA 208.3			
B: True. I don’t think my kids will be that way.  			209.1	B doesn't think B's kids will be like A and B's mom and dad						CT+ 209.1	CT+ 209.1	JA 209.1	JA 209.1			
			209.2	B's kids will be like A and B's mom and dad						PS 209.2	PS 209.2	JA 209.2	JA 209.2			
A: And he just looked at me. [channel noise] 			210	A and B's dad just looked at A						CT+ 210	CT+ 210	JA 210	JA 210			
B: Well you’ve got a point but 			211	A's got a point						CT+ 211	CT+ 211	JA 211	JA 211			
