CID,Annotator,Sentence,Sno.,Preprocessed,Coref Resolved,Eno.,Source,Target,Belief,Event
4248,Magda,A: you know y- you might have to try one or two before you find one that works but,155,you know you might have to try one or two before you find one that works but,you know you might have to try one or two before you find one that works but,155.1,A,know,true,B know
4248,Magda,B: yeah.,156,yeah.,yeah.,156.1,B,yeah,true,yeah.
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157,once and you know they have like things and like can set the tension or whatever they get,once and you know they have like things and like can set the tension or whatever they get,157.1,A,know,true,B know
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157,once and you know they have like things and like can set the tension or whatever they get,once and you know they have like things and like can set the tension or whatever they get,157.2,A,have,unknown,and B know they have
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157,once and you know they have like things and like can set the tension or whatever they get,once and you know they have like things and like can set the tension or whatever they get,157.3,A,set,unknown,like can set the tension
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157,once and you know they have like things and like can set the tension or whatever they get,once and you know they have like things and like can set the tension or whatever they get,157.4,A,tension,unknown,the tension
4248,Magda,A: once and you know they have like things and like can set the tension or whatever they get,157,once and you know they have like things and like can set the tension or whatever they get,once and you know they have like things and like can set the tension or whatever they get,157.5,A,get,unknown,whatever they get
4248,Magda,A: suck suck power.,158,suck suck power.,suck suck power.,158.1,A,suck,true,suck suck power.
4248,Magda,B: {laugh} the tension {laugh} ((they’re)) like the little knob on your sewing machine.  [[said laughing]] {laugh},159,the tension they’re like the little knob on your sewing machine.,the tension they’re like the little knob on your sewing machine.,159.1,B,like,true,they’re like the little knob on A's sewing machine
4248,Magda,"A: {laugh} You can set the, the power level and stuff and and it g-",160,"You can set the, the power level and stuff and and it g-","You can set the, the power level and stuff and and it g-",160.1,A,set,true,"B can set the, the power level"
4248,Magda,B: {inhale} {laugh} {inhale} Or like extra suck for just ((starting to)) suck. [[said laughing]],161,Or like extra suck for just starting to suck.,Or like extra suck for just starting to suck.,161.1,B,starting,true,just starting to suck
4248,Magda,B: {inhale} {laugh} {inhale} Or like extra suck for just ((starting to)) suck. [[said laughing]],161,Or like extra suck for just starting to suck.,Or like extra suck for just starting to suck.,161.2,B,suck,true,extra suck for just starting to suck
4248,Magda,A: You know e- it’s like you,162,You know it’s like you,You know it’s like you,162.1,A,know,true,B know
4248,Magda,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting,163,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,163.1,A,used,true,once B get used it
4248,Magda,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting,163,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,163.2,A,know,true,B know
4248,Magda,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting,163,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,163.3,A,feel,true,once B get used it B know at first B feel like what am A doing putting this machine on me it’s disgusting
4248,Magda,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting,163,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,once you get used it you know at first you feel like what am I doing putting this machine on me it’s disgusting,163.4,A,putting,true,putting this machine on me
4248,Magda,B: {laugh},164, , , , , , , 
4248,Magda,A: or obscene or something.,165,or obscene or something.,or obscene or something.,165.1,A,obscene,true,or obscene
4248,Magda,A: But once you get used to it it was %uh you know you can like read while you’re doing it. It was like boring.,166,But once you get used to it it was you know you can like read while you’re doing it. It was like boring.,But once you get used to it it was you know you can like read while you’re doing it. It was like boring.,166.1,A,get,true,once B get
4248,Magda,B: uh-huh.,167,uh-huh.,uh-huh.,167.1,B,uh,true,uh-huh.
4248,Magda,B: okay.,168,okay.,okay.,168.1,B,okay,true,okay.
4248,Magda,B: And what does it go into like a little plastic bag **thingy**?,169,And what does it go into like a little plastic bag*thingy**?,And what does it go into like a little plastic bag*thingy**?,169.1,B,go,true,And what does it go into like a little plastic bag*thingy**?
4248,Magda,A: %uh well the thing I had was like --,170,well the thing I had was like-,well the thing I had was like-,170.1,A,like-,true,well the thing A had was like-
4248,Magda,A: -- like you screwed on this whole motor suction part --,171,-- like you screwed on this whole motor suction part-,-- like you screwed on this whole motor suction part-,171.1,A,screwed,true,-- like B screwed on this whole motor suction part-
4248,Magda,B: uh-huh.,172,uh-huh.,uh-huh.,172.1,B,uh,true,uh-huh.
4248,Magda,"A: -- on to something that was just like a, a jar bottom.",173,"-- on to something that was just like a, a jar bottom.","-- on to something that was just like a, a jar bottom.",173.1,A,on,true,"-- on to something that was just like a, a jar bottom."
4248,Magda,A: You know just looked like a screw thing so that it went to this plastic container.,174,You know just looked like a screw thing so that it went to this plastic container.,You know just looked like a screw thing so that it went to this plastic container.,174.1,A,looked,true,B know just looked like a screw thing so that it went to this plastic container.
4248,Magda,A: You know just looked like a screw thing so that it went to this plastic container.,174,You know just looked like a screw thing so that it went to this plastic container.,You know just looked like a screw thing so that it went to this plastic container.,174.2,A,went,true,so that it went to this plastic container
4248,Magda,B: {breath},175, , , , , , , 
4248,Magda,B: okay. And you can reuse the plastic container?,176,okay. And you can reuse the plastic container?,okay. And you can reuse this plastic container?,176.1,B,reuse,unknown,And A can reuse this plastic container?
4248,Magda,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.,177,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,177.1,A,do,true,what A would do
4248,Magda,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.,177,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,177.2,A,bring,true,just A would bring little bags like that B’re supposed to put formula in with me to work
4248,Magda,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.,177,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,177.3,A,put,true,to put formula in with me to work
4248,Magda,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.,177,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,And then what I would do is just I would bring little bags like that you’re supposed to put formula in with me to work.,177.4,A,work,true,to work
4248,Magda,B: oh okay.,178,oh okay.,oh okay.,178.1,B,oh,true,oh okay.
4248,Magda,A: And then I’d pour it from the container,179,And then I’d pour it from the container,And then I’d pour it from this plastic container,179.1,A,pour,true,And then A’d pour it from this plastic container
4248,Magda,A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,180,into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,into the plastic bag and seal the plastic bag up and then go you know rinse out this plastic container and wash this plastic container the next day.,180.1,A,go,true,then go B know rinse out this plastic container
4248,Magda,A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,180,into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,into the plastic bag and seal the plastic bag up and then go you know rinse out this plastic container and wash this plastic container the next day.,180.2,A,rinse,true,B know rinse out this plastic container
4248,Magda,A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,180,into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.,into the plastic bag and seal the plastic bag up and then go you know rinse out this plastic container and wash this plastic container the next day.,180.3,A,wash,true,wash this plastic container the next day
4248,Magda,B: And did you throw away the plastic bags when you were done?,181,And did you throw away the plastic bags when you were done?,And did you throw away little bags like that you’re supposed to put formula in when you were done?,181.1,B,throw,true,And did A throw away little bags like that A’re supposed to put formula in when A were done?
4248,Magda,B: And did you throw away the plastic bags when you were done?,181,And did you throw away the plastic bags when you were done?,And did you throw away little bags like that you’re supposed to put formula in when you were done?,181.2,B,did,true,did
4248,Magda,A: Well see then the plastic bag is designed to go inside a bottle thing.,182,Well see then the plastic bag is designed to go inside a bottle thing.,Well see then the plastic bag is designed to go inside a bottle thing.,182.1,A,see,true,Well see then the plastic bag is designed to go inside a bottle thing.
4248,Magda,A: Well see then the plastic bag is designed to go inside a bottle thing.,182,Well see then the plastic bag is designed to go inside a bottle thing.,Well see then the plastic bag is designed to go inside a bottle thing.,182.2,A,designed,true,the plastic bag is designed to go inside a bottle thing
4248,Magda,A: Well see then the plastic bag is designed to go inside a bottle thing.,182,Well see then the plastic bag is designed to go inside a bottle thing.,Well see then the plastic bag is designed to go inside a bottle thing.,182.3,A,go,unknown,to go inside a bottle thing
4248,Magda,B: yeah. And th- %eh so then you so you throw the plastic bag away when you’re done.,183,yeah. And so then you so you throw the plastic bag away when you’re done.,yeah. And so then you so you throw the plastic bag away when you’re done.,183.1,B,throw,true,And so then A so A throw the plastic bag away when A’re done.
4248,Magda,B: yeah. And th- %eh so then you so you throw the plastic bag away when you’re done.,183,yeah. And so then you so you throw the plastic bag away when you’re done.,yeah. And so then you so you throw the plastic bag away when you’re done.,183.2,B,done,true,when A’re done
4248,Magda,A: After your baby drinks the milk yeah.,184,After your baby drinks the milk yeah.,After your baby drinks the milk yeah.,184.1,A,drinks,true,After B's baby drinks the milk yeah.
4248,Magda,B: yeah okay,185,yeah okay,yeah okay, , , , , 
4248,Magda,B: {lipsmack} okay. I’m just trying to you know,186,okay. I’m just trying to you know,okay. I’m just trying to you know,186.1,B,trying,true,B’m just trying to A know
4248,Magda,B: we have a f- %um %uh %uh,187,we have a,we have a,187.1,B,have,true,we have a
4248,Magda,A: And that way you can freeze them so you know we’d end up,188,And that way you can freeze them so you know we’d end up,And that way you can freeze them so you know we’d end up,188.1,A,end,unknown,so B know we’d end up
4248,Magda,A: And that way you can freeze them so you know we’d end up,188,And that way you can freeze them so you know we’d end up,And that way you can freeze them so you know we’d end up,188.2,A,freeze,unknown,And that way B can freeze them so B know we’d end up
4248,Magda,A: And that way you can freeze them so you know we’d end up,188,And that way you can freeze them so you know we’d end up,And that way you can freeze them so you know we’d end up,188.3,A,know,unknown,B know
4248,Magda,B: yeah.,189,yeah.,yeah.,189.1,B,yeah,true,yeah.
4248,Magda,"A: there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like",190,"there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like","there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like",190.1,A,go,true,"a, a go"
4248,Magda,"A: there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like",190,"there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like","there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like",190.2,A,go,true,no go for breast pumping
4248,Magda,B: %mm okay.,191,okay.,okay.,191.1,B,okay,true,okay.
4248,Magda,A: we ended up with a freezer full like we found a year later a freezer full of breast milk. [[said laughing]],192,we ended up with a freezer full like we found a year later a freezer full of breast milk.,we ended up with a freezer full like we found a year later a freezer full of breast milk.,192.1,A,ended,true,we ended up with a freezer full like we found a year later a freezer full of breast milk.
4248,Magda,A: we ended up with a freezer full like we found a year later a freezer full of breast milk. [[said laughing]],192,we ended up with a freezer full like we found a year later a freezer full of breast milk.,we ended up with a freezer full like we found a year later a freezer full of breast milk.,192.2,A,found,true,like we found a year later a freezer full of breast milk
4248,Magda,B: {laugh} God.,193,God.,God.,193.1,B,God,true,God.
4248,Magda,A: oh let’s just throw this all away.,194,oh let’s just throw this all away.,oh let’s just throw breast milk away.,194.1,A,throw,unknown,’s just throw breast milk away
4248,Magda,B: {laugh},195, , , , , , , 
4248,Magda,A: It’s like all that hard work but it was either you know it was either explode or {breath} you know pretty much,196,It’s like all that hard work but it was either you know it was either explode or you know pretty much,It’s like all that hard work but it was either you know it was either explode or you know pretty much,196.1,A,work,true,all that hard work
4248,Magda,A: It’s like all that hard work but it was either you know it was either explode or {breath} you know pretty much,196,It’s like all that hard work but it was either you know it was either explode or you know pretty much,It’s like all that hard work but it was either you know it was either explode or you know pretty much,196.2,A,explode,true,either explode
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197,"But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.","But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197.1,B,thought,true,"But B thought like A totally got down to the level so even if A only breast fed one, A know once a day that that’s how much milk A would have."
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197,"But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.","But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197.2,B,got,unknown,"like A totally got down to the level so even if A only breast fed one, A know once a day that that’s how much milk A would have"
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197,"But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.","But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197.3,B,fed,unknown,even if A only breast fed one
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197,"But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.","But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197.4,B,know,true,"even if A only breast fed one, A know"
4248,Magda,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197,"But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.","But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.",197.5,B,have,unknown,how much milk A would have
4248,Magda,A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].,198,I don’t know. All I can tell you is to get a big bag,I don’t know. All I can tell you is to get a big bag,198.1,A,know,false,A don’t know.
4248,Magda,A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].,198,I don’t know. All I can tell you is to get a big bag,I don’t know. All I can tell you is to get a big bag,198.2,A,tell,true,A can tell B
4248,Magda,A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].,198,I don’t know. All I can tell you is to get a big bag,I don’t know. All I can tell you is to get a big bag,198.3,A,get,unknown,to get a big bag
4248,Magda,B: {laugh} okay [[says laughing]],199,okay,okay, , , , , 
4248,Magda,A: {inhale} It’s like once I started at at work I you know,200,It’s like once I started at at work I you know,It’s like once I started at at work I you know,200.1,A,started,true,once A started at at work
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201,"once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.","once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201.1,A,getting,true,once he was getting bigger
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201,"once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.","once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201.2,A,making,true,like A was making two bags
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201,"once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.","once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201.3,A,sat,true,if B sat down B
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201,"once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.","once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201.4,A,did,true,if B sat down B either did two bags
4248,Magda,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201,"once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.","once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it.",201.5,A,explode,true,B’d explode
4248,Magda,A: And she just couldn’t quite drink that much so {lipsmack},202,And she just couldn’t quite drink that much so,And she just couldn’t quite drink two bags so,202.1,A,drink,false,And she just couldn’t quite drink two bags so
4248,Magda,B: %mm okay.,203,okay.,okay.,203.1,B,okay,true,okay.
4248,Magda,A: You know that was why I was working in the morning the morning’s when you do the most. {breath} Everybody’s different so it probably,204,You know that was why I was working in the morning the morning’s when you do the most. Everybody’s different so it probably,You know that was why I was working in the morning the morning’s when you do the most. Everybody’s different so it probably,204.1,A,working,true,why A was working in the morning
4248,Magda,A: You know that was why I was working in the morning the morning’s when you do the most. {breath} Everybody’s different so it probably,204,You know that was why I was working in the morning the morning’s when you do the most. Everybody’s different so it probably,You know that was why I was working in the morning the morning’s when you do the most. Everybody’s different so it probably,204.2,A,do,true,when B do the most
4248,Magda,B: yeah yeah that’s true. {inhale} Well I only have fourteen weeks left so.,205,yeah yeah that’s true. Well I only have fourteen weeks left so.,yeah yeah that’s true. Well I only have fourteen weeks left so.,205.1,B,true,true,that’s true.
4248,Magda,B: yeah yeah that’s true. {inhale} Well I only have fourteen weeks left so.,205,yeah yeah that’s true. Well I only have fourteen weeks left so.,yeah yeah that’s true. Well I only have fourteen weeks left so.,205.2,B,have,true,Well B only have fourteen weeks left so.
4248,Magda,A: Wow you’re getting there. [[drawn out]],206,Wow you’re getting there.,Wow you’re getting there.,206.1,A,getting,true,Wow B’re getting there.
4248,Magda,B: I know {breath} I know.,207,I know I know.,I know I know.,207.1,B,know,unknown,B know
4248,Magda,B: I know {breath} I know.,207,I know I know.,I know I know.,207.2,B,know,unknown,B know B know.
4248,Magda,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]],208,Stopping with the miscarriage anxiety starting with the delivery anxiety.,Stopping with the miscarriage anxiety starting with the delivery anxiety.,208.1,A,Stopping,true,Stopping with the miscarriage anxiety starting with the delivery anxiety.
4248,Magda,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]],208,Stopping with the miscarriage anxiety starting with the delivery anxiety.,Stopping with the miscarriage anxiety starting with the delivery anxiety.,208.2,A,starting,true,starting with the delivery anxiety
4248,Magda,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]],208,Stopping with the miscarriage anxiety starting with the delivery anxiety.,Stopping with the miscarriage anxiety starting with the delivery anxiety.,208.3,A,anxiety,true,the miscarriage anxiety starting with the delivery anxiety
4248,Magda,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]],208,Stopping with the miscarriage anxiety starting with the delivery anxiety.,Stopping with the miscarriage anxiety starting with the delivery anxiety.,208.4,A,anxiety,true,the delivery anxiety
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209.1,B,know,true,B know
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209.2,B,know,true,A know
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209.3,B,anxiety,true,the miscarriage anxiety
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209.4,B,have,true,B had the miscarriage anxiety up until the A know because A have all those well wishers A know telling A about all those things A know.
4248,Magda,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.,209.5,B,telling,true,telling A about all those things A know
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.1,A,wants,true,ooh everybody wants to start telling B these things like people would like corner me to tell me about people's hysterectomies.
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.2,A,start,unknown,to start telling B these things like people would like corner me to tell me about people's hysterectomies
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.3,A,telling,unknown,telling B these things like people would like corner me to tell me about people's hysterectomies
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.4,A,telling,unknown,to tell me about people's hysterectomies
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.5,A,telling,unknown,to tell B about O B gyn
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.6,A,like,unknown,these things like people
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.7,A,connection,true,somehow some O B gyn connection that people see
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.8,A,see,true,that people see
4248,Magda,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,210,ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.,ooh everybody wants to start telling you these things like people would like corner me to tell me about people's hysterectomies. It’s like somehow some O B gyn connection that people see you and people think of O B gyn and people’ve got to tell you about O B gyn.,210.9,A,think,true,somehow some O B gyn connection that people see B and people think of O B gyn
4248,Magda,B: oh my god.,211,oh my god.,oh my god.,211.1,B,oh,true,oh B's god.
4248,Magda,B: you know [distorted],212,you know,you know,212.1,B,know,true,A know
4248,Magda,B: yeah,213,yeah,yeah, , , , , 
4248,Magda,B: Well I’ve heard the cord accident stories,214,Well I’ve heard the cord accident stories,Well I’ve heard the cord accident stories,214.1,B,heard,true,Well B’ve heard the cord accident stories
4248,Magda,B: Well I’ve heard the cord accident stories,214,Well I’ve heard the cord accident stories,Well I’ve heard the cord accident stories,214.2,B,stories,true,the cord accident stories
4248,Magda,B: which had me like totally and completely freaked out.,215,which had me like totally and completely freaked out.,which had me like totally and completely freaked out.,215.1,B,freaked,true,me like totally and completely freaked out
4248,Magda,B: a- are you still there?,216,are you still there?,are you still there?,216.1,B,are,true,are A still there?
4248,Magda,A: yeah ((I’m still here)) [distortion],217,yeah I’m still here,yeah I’m still here,217.1,A,here,true,A’m still here
4248,Magda,B: oh so I had so I talked to my doctor about it and apparently it’s very rare [[said laughing]] so don’t ask me why I’ve heard so many stories about it but {sniff},218,oh so I had so I talked to my doctor about it and apparently it’s very rare so don’t ask me why I’ve heard so many stories about it but,oh so I had so I talked to my doctor about it and apparently it’s very rare so don’t ask me why I’ve heard so many stories about it but,218.1,B,had,true,oh so B had
4248,Magda,B: oh so I had so I talked to my doctor about it and apparently it’s very rare [[said laughing]] so don’t ask me why I’ve heard so many stories about it but {sniff},218,oh so I had so I talked to my doctor about it and apparently it’s very rare so don’t ask me why I’ve heard so many stories about it but,oh so I had so I talked to my doctor about it and apparently it’s very rare so don’t ask me why I’ve heard so many stories about it but,218.2,B,talked,true,oh so B had so B talked to B's doctor about it
